"","PSID","Gene","Module"
"LRRC55","LRRC55","LRRC55","HuAgeGBsplit_02"
"MT1E","MT1E","MT1E","HuAgeGBsplit_02"
"DDX11L2","DDX11L2","DDX11L2","HuAgeGBsplit_07"
"AC009237.8","AC009237.8","AC009237.8","HuAgeGBsplit_01"
"AC114501.1","AC114501.1","AC114501.1","HuAgeGBsplit_01"
"AJ011932.1","AJ011932.1","AJ011932.1","HuAgeGBsplit_02"
"IGHJ3P","IGHJ3P","IGHJ3P","HuAgeGBsplit_14"
"IGHJ2P","IGHJ2P","IGHJ2P","HuAgeGBsplit_01"
"CARTPT","CARTPT","CARTPT","HuAgeGBsplit_16"
"AC009963.2","AC009963.2","AC009963.2","HuAgeGBsplit_27"
"TRBJ2-5","TRBJ2-5","TRBJ2-5","HuAgeGBsplit_24"
"AC098479.1","AC098479.1","AC098479.1","HuAgeGBsplit_02"
"SSTR1","SSTR1","SSTR1","HuAgeGBsplit_24"
"AC008759.3","AC008759.3","AC008759.3","HuAgeGBsplit_01"
"RPS15AP36","RPS15AP36","RPS15AP36","HuAgeGBsplit_02"
"FAM180A","FAM180A","FAM180A","HuAgeGBsplit_12"
"RN7SL605P","RN7SL605P","RN7SL605P","HuAgeGBsplit_01"
"RNU6-529P","RNU6-529P","RNU6-529P","HuAgeGBsplit_01"
"LINC01116","LINC01116","LINC01116","HuAgeGBsplit_01"
"NRGN","NRGN","NRGN","HuAgeGBsplit_02"
"IGLV7-46","IGLV7-46","IGLV7-46","HuAgeGBsplit_01"
"AC078909.2","AC078909.2","AC078909.2","HuAgeGBsplit_02"
"HSPA7","HSPA7","HSPA7","HuAgeGBsplit_01"
"AC012360.2","AC012360.2","AC012360.2","HuAgeGBsplit_02"
"AL591926.5","AL591926.5","AL591926.5","HuAgeGBsplit_01"
"AC006960.3","AC006960.3","AC006960.3","HuAgeGBsplit_06"
"CCL2","CCL2","CCL2","HuAgeGBsplit_10"
"AL390728.3","AL390728.3","AL390728.3","HuAgeGBsplit_15"
"AC117490.1","AC117490.1","AC117490.1","HuAgeGBsplit_01"
"NHLH1","NHLH1","NHLH1","HuAgeGBsplit_14"
"AC004540.2","AC004540.2","AC004540.2","HuAgeGBsplit_07"
"DLK1","DLK1","DLK1","HuAgeGBsplit_11"
"METTL1","METTL1","METTL1","HuAgeGBsplit_01"
"CYR61","CYR61","CYR61","HuAgeGBsplit_08"
"RNU2-17P","RNU2-17P","RNU2-17P","HuAgeGBsplit_02"
"CABP7","CABP7","CABP7","HuAgeGBsplit_02"
"MT1H","MT1H","MT1H","HuAgeGBsplit_02"
"MIR4458HG","MIR4458HG","MIR4458HG","HuAgeGBsplit_01"
"RNU12-2P","RNU12-2P","RNU12-2P","HuAgeGBsplit_02"
