"","blue....QSVZbyPSVZ__"
"786","PTPRN"
"787","QARS"
"788","QRSL1"
"789","QSOX1"
"790","RAB10"
"791","RAB29"
"792","RAB31"
"793","RAB39B"
"794","RAB3GAP1"
"795","RAB6B"
"796","RALB"
"797","RAMP1"
"798","RANBP3L"
"799","RAP1GAP"
"800","RAPGEF2"
"801","RAPGEF3"
"802","RARB"
"803","RARRES2"
"804","RASA2"
"805","RASGRP1"
"806","RB1CC1"
"807","RBM12B"
"808","RBM20"
"809","RBM33"
"810","RCCD1"
"811","RDH10"
"812","RER1"
"813","RFTN1"
"814","RGS17"
"815","RGS20"
"816","RGS4"
"817","RGS6"
"818","RHBDD1"
"819","RHBDF1"
"820","RHBDL1"
"821","RHOG"
"822","RHOU"
"823","RHPN2"
"824","RILPL1"
"825","RMDN1"
"826","RNASET2"
"827","RNF112"
"828","RNF113A"
"829","RNF123"
"830","RNF149"
"831","RNF7"
"832","RNPC3"
"833","ROBO1"
"834","ROBO4"
"835","RPAP1"
"836","RPN1"
"837","RPP40"
"838","RPRD1A"
"839","RSBN1"
"840","RSPRY1"
"841","RSRP1"
"842","RWDD4"
"843","RYK"
"844","S100A13"
"845","S100A16"
"846","S100PBP"
"847","S1PR5"
"848","SAMD4B"
"849","SASH1"
"850","SAT1"
"851","SCAMP3"
"852","SCAP"
"853","SCARB1"
"854","SCARB2"
"855","SCD"
"856","SCG3"
"857","SCG5"
"858","SCN8A"
"859","SCRG1"
"860","SCRN3"
"861","SDC2"
"862","SDF4"
"863","SDSL"
"864","SEC22C"
"865","SEC24D"
"866","SEC61A1"
"867","SEH1L"
"868","SEMA6D"
"869","SENP2"
"870","SEPSECS"
"871","SERTAD1"
"872","SESN1"
"873","SETD7"
"874","SEZ6L"
"875","SEZ6L2"
"876","SFRP5"
"877","SFT2D2"
"878","SFXN5"
"879","SGMS1"
"880","SH2D5"
"881","SH3BP5"
"882","SH3BP5L"
"883","SHC3"
"884","SHISA2"
"885","SHROOM4"
"886","SIAH2"
"887","SIPA1L3"
"888","SIRT2"
"889","SKAP2"
"890","SLC10A7"
"891","SLC14A1"
"892","SLC15A1"
"893","SLC15A2"
"894","SLC16A1"
"895","SLC18B1"
"896","SLC19A2"
"897","SLC1A2"
"898","SLC22A23"
"899","SLC25A23"
"900","SLC25A33"
"901","SLC25A34"
"902","SLC25A36"
"903","SLC25A38"
"904","SLC25A42"
"905","SLC25A44"
"906","SLC26A6"
"907","SLC29A2"
"908","SLC29A4"
"909","SLC2A10"
"910","SLC30A1"
"911","SLC30A6"
"912","SLC30A9"
"913","SLC35D1"
"914","SLC35F5"
"915","SLC39A1"
"916","SLC39A10"
"917","SLC39A12"
"918","SLC39A14"
"919","SLC39A7"
"920","SLC41A2"
"921","SLC43A3"
"922","SLC48A1"
"923","SLC4A4"
"924","SLC50A1"
"925","SLC7A11"
"926","SLC7A2"
"927","SLC8B1"
"928","SLC9A9"
"929","SLCO1C1"
"930","SLITRK5"
"931","SMAD7"
"932","SMG5"
"933","SMIM12"
"934","SMIM14"
"935","SMIM3"
"936","SMIM4"
"937","SMIM8"
"938","SNAPC5"
"939","SNRNP70"
"940","SNTA1"
"941","SNX33"
"942","SOAT1"
"943","SOBP"
"944","SOCS5"
"945","SORT1"
"946","SOWAHC"
"947","SOX13"
"948","SPARCL1"
"949","SPATA6"
"950","SPATS2L"
"951","SPCS3"
"952","SPHK2"
"953","SPOCK2"
"954","SPRED1"
"955","SPRED3"
"956","SPRYD4"
"957","SPSB1"
"958","SQLE"
"959","SREBF2"
"960","SRPRB"
"961","SSR3"
"962","SSR4"
"963","SST"
"964","ST8SIA5"
"965","STAMBPL1"
"966","STARD10"
"967","STK17B"
"968","STK40"
"969","STOML1"
"970","STRN"
"971","STRN4"
"972","STT3B"
"973","STX1B"
"974","STXBP1"
"975","SUCLG2"
"976","SUMF1"
"977","SUOX"
"978","SUSD4"
"979","SV2A"
"980","SVIP"
"981","SYAP1"
"982","SYN1"
"983","SYNJ2"
"984","SYP"
"985","SYT3"
"986","SYT5"
"987","SYTL2"
"988","TADA3"
"989","TAF13"
"990","TAF9B"
"991","TAOK3"
"992","TAS1R3"
"993","TATDN2"
"994","TAZ"
"995","TBC1D12"
"996","TBC1D23"
"997","TBCCD1"
"998","TBK1"
"999","TCTA"
"1000","TDO2"
"1001","TENM3"
"1002","TERF2"
"1003","TET2"
"1004","TFCP2L1"
"1005","TFPT"
"1006","TGFA"
"1007","TGFB2"
"1008","THBS3"
"1009","THNSL2"
"1010","TIGD2"
"1011","TINAGL1"
"1012","TIPARP"
"1013","TIPRL"
"1014","TJP1"
"1015","TK2"
"1016","TLCD1"
"1017","TLR3"
"1018","TM2D3"
"1019","TM7SF3"
"1020","TMCC1"
"1021","TMCC2"
"1022","TMCC3"
"1023","TMCO1"
"1024","TMEFF2"
"1025","TMEM123"
"1026","TMEM125"
"1027","TMEM132A"
"1028","TMEM135"
"1029","TMEM144"
"1030","TMEM14A"
"1031","TMEM150B"
"1032","TMEM150C"
"1033","TMEM158"
"1034","TMEM164"
"1035","TMEM177"
"1036","TMEM185B"
"1037","TMEM192"
"1038","TMEM200C"
"1039","TMEM229A"
"1040","TMEM33"
"1041","TMEM38A"
"1042","TMEM47"
"1043","TMEM50A"
"1044","TMEM63A"
"1045","TMEM88B"
"1046","TMEM9"
"1047","TMEM97"
"1048","TMIE"
"1049","TMOD2"
"1050","TMTC1"
"1051","TNFAIP2"
"1052","TNFAIP3"
"1053","TNFAIP6"
"1054","TNFRSF18"
