"","HuAgeGBsplit_02....QGBObyPGBO__"
"568","MT1G"
"569","MT1XP1"
"570","MT3"
"571","MTND1P10"
"572","MVD"
"573","NACAP1"
"574","NANOG"
"575","NBDY"
"576","NDUFA1"
"577","NDUFA5P6"
"578","NDUFC1"
"579","NDUFS5"
"580","NEU4"
"581","NFE2L3P1"
"582","NKAP"
"583","NOA1"
"584","NOB1"
"585","NOC2LP1"
"586","NOP10"
"587","NPM1P47"
"588","NPPC"
"589","NSDHL"
"590","NTHL1"
"591","NUDT10"
"592","NUDT11"
"593","NUP93"
"594","NXPE3"
"595","OCIAD2"
"596","OLMALINC"
"597","OR10H1"
"598","OR14J1"
"599","OR52I1"
"600","OR56A4"
"601","OR7E15P"
"602","OR9H1P"
"603","OSR1"
"604","PAK4"
"605","PARK7"
"606","PARP1"
"607","PCCB"
"608","PCDH8"
"609","PCOLCE2"
"610","PDCD2L"
"611","PDCL3"
"612","PDHA1"
"613","PDK3"
"614","PDP2"
"615","PEBP1"
"616","PEX6"
"617","PFDN2"
"618","PFDN6"
"619","PGD"
"620","PGRMC1"
"621","PHKA1"
"622","PHKA2-AS1"
"623","PIGR"
"624","PIPSL"
"625","PITX1"
"626","PKMP1"
"627","PLEKHA8P1"
"628","PLEKHF1"
"629","PMVK"
"630","PNMA8C"
"631","POLR2I"
"632","PORCN"
"633","PPIAP22"
"634","PPIAP59"
"635","PPIAP60"
"636","PPIAP77"
"637","PPP1R3F"
"638","PQBP1"
"639","PRADC1"
"640","PRAF2"
"641","PRDX4"
"642","PRDX6"
"643","PRELID1P1"
"644","PRELID3A"
"645","PRELID3BP7"
"646","PRKAR2B"
"647","PRKCQ-AS1"
"648","PRKX"
"649","PRKXP1"
"650","PROM1"
"651","PSMD4"
"652","PTCH2"
"653","PUS1"
"654","PUSL1"
"655","QPRT"
"656","RAB20"
"657","RAB33A"
"658","RAB41"
"659","RAB7B"
"660","RAC1P2"
"661","RANP1"
"662","RAP2B"
"663","RASAL1"
"664","RBBP7"
"665","RBMX2"
"666","RCC1"
"667","RF00438"
"668","RFX5"
"669","RGPD4-AS1"
"670","RGS10"
"671","RHOBTB2"
"672","RHOQP2"
"673","RIDA"
"674","RN7SKP106"
"675","RN7SKP181"
"676","RN7SKP66"
"677","RN7SL156P"
"678","RN7SL208P"
"679","RN7SL301P"
"680","RN7SL43P"
"681","RN7SL525P"
"682","RN7SL592P"
"683","RN7SL66P"
"684","RN7SL70P"
"685","RN7SL790P"
"686","RN7SL811P"
"687","RN7SL837P"
"688","RNA5SP18"
"689","RNA5SP242"
"690","RNA5SP75"
"691","RNF112"
"692","RNF113A"
"693","RNF222"
"694","RNU1-1"
"695","RNU12-2P"
"696","RNU2-62P"
"697","RNU4-39P"
"698","RNU5B-2P"
"699","RNU6-1011P"
"700","RNU6-1187P"
"701","RNU6-1212P"
"702","RNU6-1266P"
"703","RNU6-304P"
"704","RNU6-307P"
"705","RNU6-45P"
"706","RNU6-483P"
"707","RNU6-487P"
"708","RNU6-510P"
"709","RNU6-520P"
"710","RNU6-703P"
"711","RNU6-8"
"712","RNU6-869P"
"713","RNY3P8"
"714","RP2"
"715","RPIA"
"716","RPL11P5"
"717","RPL21P120"
"718","RPL23P8"
"719","RPL24P2"
"720","RPL24P4"
"721","RPL37AP8"
"722","RPL3P7"
"723","RPL7P17"
"724","RPL7P44"
"725","RPL7P8"
"726","RPP40"
"727","RPS10P3"
"728","RPS15AP36"
"729","RPS18P12"
"730","RPS27AP11"
"731","RPS29P5"
"732","RPS4XP1"
"733","RPS7P4"
"734","RPSAP12"
"735","RPSAP45"
"736","RRP9"
"737","RSG1"
"738","RSL24D1P3"
"739","RTL8A"
"740","RTL8C"
"741","RUNDC3A"
"742","RUVBL1"
"743","SAMD1"
"744","SAT1"
"745","SCARB1"
"746","SDC2"
"747","SDF2L1"
"748","SDSL"
"749","SETP14"
"750","SETP20"
"751","SETSIP"
"752","SH2D5"
"753","SH3BGR"
"754","SLC19A3"
"755","SLC22A5"
"756","SLC25A33"
"757","SLC25A38"
"758","SLC25A41"
"759","SLC25A42"
"760","SLC25A5"
"761","SLC26A4-AS1"
"762","SLC27A5"
"763","SLC29A4"
"764","SLC35E2"
"765","SLC35F2"
"766","SLC7A2"
"767","SMG1P7"
"768","SMIM20"
"769","SMIM3"
"770","SNHG19"
"771","SNRPA1"
"772","SNX12"
