"","turquoise....PGBCbyQGBC__"
"1342","NPM1P39"
"1343","NPTN"
"1344","NQO1"
"1345","NR0B1"
"1346","NR2C2AP"
"1347","NRADDP"
"1348","NRAS"
"1349","NRBP1"
"1350","NSD2"
"1351","NSL1"
"1352","NSMAF"
"1353","NSMCE2"
"1354","NSUN4"
"1355","NT5DC1"
"1356","NT5DC2"
"1357","NTS"
"1358","NUAK2"
"1359","NUBP1"
"1360","NUCKS1"
"1361","NUDCD1"
"1362","NUDT8"
"1363","NUP107"
"1364","NUP133"
"1365","NUP153"
"1366","NUP37"
"1367","NUP43"
"1368","NUP54"
"1369","NUP88"
"1370","NUS1"
"1371","NUTF2"
"1372","NVL"
"1373","NXT2"
"1374","OACYLP"
"1375","OAZ2"
"1376","OCIAD1"
"1377","OCRL"
"1378","ODF2L"
"1379","ODR4"
"1380","OIP5"
"1381","OLA1"
"1382","OLFML2A"
"1383","OLFML3"
"1384","OPA1"
"1385","OPA3"
"1386","OPN3"
"1387","ORC2"
"1388","ORC3"
"1389","ORC4"
"1390","ORMDL1"
"1391","OSBPL8"
"1392","OSGEPL1-AS1"
"1393","OTUD6B-AS1"
"1394","OTX1"
"1395","OXR1"
"1396","P2RY2"
"1397","P3H4"
"1398","P4HA2"
"1399","P4HA2-AS1"
"1400","P4HB"
"1401","PACERR"
"1402","PAF1"
"1403","PAFAH1B3"
"1404","PAK1"
"1405","PAK1IP1"
"1406","PALB2"
"1407","PAOX"
"1408","PAPOLG"
"1409","PAPSS2"
"1410","PAQR7"
"1411","PARD6A"
"1412","PARD6B"
"1413","PARPBP"
"1414","PARVB"
"1415","PAWR"
"1416","PBLD"
"1417","PCED1B"
"1418","PCGF1"
"1419","PCM1"
"1420","PCMT1"
"1421","PCOLCE"
"1422","PCYT1B"
"1423","PDCD2"
"1424","PDE6D"
"1425","PDGFRA"
"1426","PDGFRB"
"1427","PDIA3"
"1428","PDIA4"
"1429","PDIA6"
"1430","PDZD11"
"1431","PDZK1"
"1432","PEA15"
"1433","PEAK1"
"1434","PEF1"
"1435","PET117"
"1436","PEX11B"
"1437","PEX2"
"1438","PEX3"
"1439","PEX7"
"1440","PFAS"
"1441","PFN1"
"1442","PGAM1P8"
"1443","PGP"
"1444","PHF20L1"
"1445","PHF23"
"1446","PHIP"
"1447","PHKB"
"1448","PI16"
"1449","PIAS3"
"1450","PIGB"
"1451","PIGX"
"1452","PIH1D1"
"1453","PIK3C3"
"1454","PIN4"
"1455","PIP4P2"
"1456","PITPNA"
"1457","PITX2"
"1458","PKDCC"
"1459","PKIB"
"1460","PKM"
"1461","PKMP4"
"1462","PKN2"
"1463","PKP2"
"1464","PLA2G15"
"1465","PLAC8L1"
"1466","PLAT"
"1467","PLAUR"
"1468","PLB1"
"1469","PLBD2"
"1470","PLEC"
"1471","PLEKHA3"
"1472","PLEKHG2"
"1473","PLOD1"
"1474","PLP1"
"1475","PLPBP"
"1476","PLPP3"
"1477","PLPPR2"
"1478","PLRG1"
"1479","PLXNA1"
"1480","PLXNA2"
"1481","PLXNC1"
"1482","PMAIP1"
"1483","PMP22"
"1484","PMS1"
"1485","PMS2P4"
"1486","PNKP"
"1487","PNMA6A"
"1488","PNMA8A"
"1489","PNRC1"
"1490","PODNL1"
"1491","POLD1"
"1492","POLE"
"1493","POLE4"
"1494","POLI"
"1495","POLR1C"
"1496","POLR2A"
"1497","POLR2C"
"1498","POLR2E"
"1499","POLR2K"
"1500","POLR2M"
"1501","POLR3B"
"1502","POLR3C"
"1503","POMGNT2"
"1504","POU2F2"
"1505","POU3F4"
"1506","PPA1"
"1507","PPIAP35"
"1508","PPIAP7"
"1509","PPIB"
"1510","PPIE"
"1511","PPIG"
"1512","PPIL3"
"1513","PPIL4"
"1514","PPOX"
"1515","PPP1CC"
"1516","PPP1R14BP2"
"1517","PPP1R15A"
"1518","PPP1R8"
"1519","PPP2CB"
"1520","PPP2R2A"
"1521","PPP2R5D"
"1522","PPP4C"
"1523","PPP4R1"
"1524","PPP4R3B"
"1525","PPP5C"
"1526","PPT1"
"1527","PPT2-EGFL8"
"1528","PQLC1"
"1529","PQLC2"
"1530","PQLC3"
"1531","PRAG1"
"1532","PRCC"
"1533","PRCP"
"1534","PREB"
"1535","PRIM1"
"1536","PRKACA"
"1537","PRKACB"
"1538","PRKCD"
"1539","PRKD3"
"1540","PRKRA"
"1541","PROCR"
"1542","PRPF3"
"1543","PRPF40A"
"1544","PRPF4B"
"1545","PRPF8"
"1546","PRR3"
"1547","PRRC2C"
"1548","PRSS12"
"1549","PRTG"
"1550","PSD3"
"1551","PSD4"
"1552","PSMA4"
"1553","PSMB1"
"1554","PSMB10"
"1555","PSMB2"
"1556","PSMB4"
"1557","PSMB6"
"1558","PSMC4"
"1559","PSMD1"
"1560","PSMD10"
"1561","PSMD14"
"1562","PSMD8"
"1563","PSMG2"
"1564","PTBP1"
"1565","PTCD3"
"1566","PTDSS1"
"1567","PTGER4P3"
"1568","PTGES3"
"1569","PTGFRN"
"1570","PTGS1"
"1571","PTK7"
"1572","PTP4A2"
"1573","PTPN3"
"1574","PTPRM"
"1575","PTPRU"
"1576","PTRHD1"
"1577","PUF60"
"1578","PUM2"
"1579","PWP1"
"1580","PXDN"
"1581","PXN"
"1582","PYCR3"
"1583","PYM1"
"1584","R3HCC1"
"1585","RAB11A"
"1586","RAB1A"
"1587","RAB23"
"1588","RAB2A"
"1589","RAB33B"
"1590","RAB35"
"1591","RAB3GAP2"
"1592","RAB3IP"
"1593","RAB40B"
"1594","RAB7A"
"1595","RAB8B"
"1596","RABEP1"
"1597","RABEP2"
"1598","RABIF"
"1599","RABL3"
"1600","RAC3"
"1601","RAD21"
"1602","RAET1G"
"1603","RALBP1"
"1604","RAN"
"1605","RANBP2"
"1606","RAP1B"
"1607","RAPGEF5"
"1608","RARRES1"
"1609","RARS2"
"1610","RASL12"
"1611","RAVER2"
"1612","RBBP5"
"1613","RBM10"
"1614","RBM3"
"1615","RBM38"
"1616","RBM41"
"1617","RBMX"
"1618","RCAN3"
"1619","RCC2P7"
"1620","RCN2"
"1621","RCN3"
"1622","RCOR3"
"1623","REEP1"
"1624","REEP4"
"1625","RELT"
"1626","REPS2"
"1627","REV1"
"1628","RFC5"
"1629","RFWD3"
"1630","RFX1"
"1631","RFX8"
"1632","RGCC"
"1633","RGS12"
"1634","RHOB"
"1635","RHPN1-AS1"
"1636","RIF1"
"1637","RIMKLA"
"1638","RIMS3"
"1639","RING1"
"1640","RIOK1"
"1641","RIPK1"
"1642","RMDN3"
"1643","RMND1"
"1644","RMRP"
"1645","RN7SL322P"
"1646","RNA5SP361"
"1647","RNA5SP490"
"1648","RNASEH1"
"1649","RNASEH1-AS1"
"1650","RND1"
"1651","RNF11"
"1652","RNF128"
"1653","RNF138"
"1654","RNF139"
"1655","RNF165"
"1656","RNF168"
"1657","RNF170"
"1658","RNF181"
"1659","RNF182"
"1660","RNF19A"
"1661","RNF2"
"1662","RNF227"
"1663","RNF25"
"1664","RNF26"
"1665","RNF34"
"1666","RNF40"
"1667","RNF5"
"1668","RNMT"
"1669","RNPEPL1"
"1670","RNU1-47P"
"1671","RNU1-59P"
"1672","RNU1-98P"
"1673","RNU4-1"
"1674","RNU6-1029P"
"1675","RNU6-1086P"
"1676","RNU6-1290P"
"1677","RNU6-30P"
"1678","RNU6-322P"
"1679","RNU6-415P"
"1680","RNU6-722P"
"1681","RNU6-781P"
"1682","RNU6-892P"
"1683","RNU6-911P"
"1684","RNU6-956P"
"1685","RNU6ATAC"
"1686","RNU6ATAC40P"
"1687","RNY4P37"
"1688","ROCK1"
"1689","ROCK2"
"1690","ROMO1"
"1691","RPA1"
"1692","RPA2"
"1693","RPAP3"
"1694","RPE"
"1695","RPE65"
"1696","RPF1"
"1697","RPL10P9"
"1698","RPL12P14"
"1699","RPL12P38"
"1700","RPL13AP25"
"1701","RPL13AP7"
"1702","RPL13P12"
"1703","RPL15P20"
"1704","RPL17P36"
"1705","RPL21P119"
"1706","RPL21P16"
"1707","RPL21P89"
"1708","RPL22L1"
"1709","RPL22P12"
"1710","RPL23AP20"
"1711","RPL23AP37"
"1712","RPL35P5"
"1713","RPL37P2"
"1714","RPL41P1"
"1715","RPL5P3"
"1716","RPL7L1"
"1717","RPL7P47"
"1718","RPL7P6"
"1719","RPL9P18"
"1720","RPLP0P2"
"1721","RPS18P9"
"1722","RPS20P14"
"1723","RPS26P2"
"1724","RPS27P23"
"1725","RPS4XP3"
"1726","RPS4XP6"
"1727","RPS7P10"
"1728","RPS7P14"
"1729","RPSAP44"
"1730","RPSAP61"
"1731","RPSAP72"
"1732","RPSAP8"
"1733","RPUSD1"
"1734","RPUSD2"
"1735","RRAS"
"1736","RRP36"
"1737","RRS1"
"1738","RSL1D1"
"1739","RSL24D1"
"1740","RSPH9"
"1741","RTF1"
"1742","RTKN"
"1743","RTL8B"
"1744","RTN4"
"1745","RUNX2"
"1746","RUVBL2"
"1747","RWDD1"
"1748","RWDD2A"
"1749","S1PR3"
"1750","SAC3D1"
"1751","SAP130"
"1752","SARAF"
"1753","SART3"
"1754","SBK1"
"1755","SC5D"
"1756","SCAF1"
"1757","SCAF8"
"1758","SCARA3"
"1759","SCDP1"
"1760","SCG2"
"1761","SCGB3A2"
"1762","SCML2"
"1763","SCNM1"
"1764","SCOC"
"1765","SCRIB"
"1766","SCUBE3"
"1767","SCYL2"
"1768","SDC4"
"1769","SDCBP"
"1770","SDHC"
"1771","SEC11C"
"1772","SEC22A"
"1773","SEC22B"
"1774","SEC62"
"1775","SELENBP1"
"1776","SELENOF"
"1777","SELENOS"
"1778","SELENOW"
"1779","SELPLG"
"1780","SEMA3A"
"1781","SEMA4F"
"1782","SENP1"
"1783","SENP6"
"1784","SENP8"
"1785","SERAC1"
"1786","SERINC1"
"1787","SERINC2"
"1788","SERPINE1"
"1789","SERPINF1"
"1790","SERPINH1"
"1791","SERTAD4"
"1792","SERTAD4-AS1"
"1793","SESN2"
"1794","SETD6"
"1795","SF3B4"
"1796","SF3B5"
"1797","SF3B6"
"1798","SFMBT1"
"1799","SFRP1"
"1800","SFRP2"
"1801","SFT2D1"
"1802","SGF29"
"1803","SGIP1"
"1804","SH2B3"
"1805","SH3BGRL2"
"1806","SH3BP2"
"1807","SH3GLB1"
"1808","SH3PXD2A"
"1809","SH3RF1"
"1810","SH3TC1"
"1811","SH3TC2-DT"
"1812","SH3YL1"
"1813","SHISA4"
"1814","SHISAL1"
"1815","SIN3A"
"1816","SLBP"
"1817","SLC10A4"
"1818","SLC15A3"
"1819","SLC1A3"
"1820","SLC20A2"
"1821","SLC25A11"
"1822","SLC25A19"
"1823","SLC25A21-AS1"
"1824","SLC25A32"
"1825","SLC25A53"
"1826","SLC25A6"
"1827","SLC29A1"
"1828","SLC2A12"
"1829","SLC35A5"
"1830","SLC35B2"
"1831","SLC35G5"
"1832","SLC38A7"
"1833","SLC39A6"
"1834","SLC45A3"
"1835","SLC47A2"
"1836","SLC4A11"
"1837","SLC4A1AP"
"1838","SLC52A2"
"1839","SLC5A6"
"1840","SLC5A9"
"1841","SLC6A9"
"1842","SLC9A3R1"
"1843","SLC9A6"
"1844","SLC9A7P1"
"1845","SLC9B2"
"1846","SLITRK3"
"1847","SLMAP"
"1848","SLN"
"1849","SLX4"
"1850","SMAP2"
"1851","SMARCAL1"
"1852","SMARCD1"
"1853","SMCO4"
"1854","SMG1"
"1855","SMIM10L1"
"1856","SMIM13"
"1857","SMIM19"
"1858","SMPD4"
"1859","SMYD4"
"1860","SNAI1"
"1861","SNAPIN"
"1862","SNCA"
"1863","SNRK"
"1864","SNRNP48"
"1865","SNRPA"
"1866","SNRPC"
"1867","SNRPD1"
"1868","SNRPD2"
"1869","SNRPE"
"1870","SNRPF"
"1871","SNRPGP17"
"1872","SNUPN"
"1873","SNX14"
"1874","SNX17"
"1875","SNX3"
"1876","SOCS6"
"1877","SOD2"
"1878","SORBS2"
"1879","SORBS3"
"1880","SORD"
"1881","SORL1"
"1882","SOX18"
"1883","SP3"
"1884","SPAG1"
"1885","SPAG7"
"1886","SPATA18"
"1887","SPATA33"
"1888","SPATA5L1"
"1889","SPCS1"
"1890","SPIDR"
"1891","SPINT1"
"1892","SPRTN"
"1893","SPTBN5"
"1894","SQSTM1"
"1895","SRGN"
"1896","SRP14"
"1897","SRP14P1"
"1898","SRP9"
"1899","SRR"
"1900","SRSF1"
"1901","SRSF11"
"1902","SRSF12"
"1903","SRSF3"
"1904","SRSF7"
"1905","SS18"
"1906","SSB"
"1907","SSBP3"
"1908","SSH3"
"1909","SSR1"
"1910","SSR2"
"1911","SSRP1"
"1912","ST3GAL1"
"1913","ST8SIA2"
"1914","STAM2"
"1915","STAMBP"
"1916","STARD4"
"1917","STARD8"
"1918","STC1"
"1919","STK11IP"
"1920","STK38L"
"1921","STK39"
"1922","STMN3"
"1923","STRIP2"
"1924","STUM"
"1925","STX6"
"1926","STX8"
"1927","STXBP2"
"1928","SUB1"
"1929","SUB1P1"
"1930","SUCLG2P2"
"1931","SULT1A1"
"1932","SULT1A2"
"1933","SUMO1"
"1934","SVEP1"
"1935","SYBU"
"1936","SYF2"
"1937","SYNCRIP"
"1938","SYNE1"
"1939","SYNM"
"1940","TAB2"
"1941","TAC4"
"1942","TACC1"
"1943","TACC3"
"1944","TAF1A-AS1"
"1945","TAF1B"
"1946","TAF2"
"1947","TAF8"
"1948","TAF9P3"
"1949","TAGLN"
"1950","TAGLN3"
"1951","TARSL2"
"1952","TATDN1"
"1953","TATDN3"
"1954","TAX1BP3"
"1955","TBC1D31"
"1956","TBC1D7"
"1957","TBCC"
"1958","TBCE"
"1959","TBP"
"1960","TBPL1"
"1961","TBX18"
"1962","TCAIM"
"1963","TCEA1"
"1964","TCF4"
"1965","TCHP"
"1966","TCP1"
"1967","TCTN1"
"1968","TDG"
"1969","TDP2"
"1970","TDRP"
"1971","TERF1"
"1972","TET3"
"1973","TFAP2C"
"1974","TFB1M"
"1975","TFB2M"
"1976","TFE3"
"1977","TGFB1I1"
"1978","TGFBR1"
"1979","TGFBRAP1"
"1980","TGOLN2"
"1981","TGS1"
"1982","THAP1"
"1983","THAP5P1"
"1984","THEM4"
"1985","THEM6"
"1986","THOC6"
"1987","THSD4"
"1988","THUMPD2"
"1989","TICRR"
"1990","TIGD3"
"1991","TIMM10"
"1992","TIMM13"
"1993","TIMM17B"
"1994","TIMM21"
"1995","TIMM22"
"1996","TJAP1"
"1997","TLK1"
"1998","TLNRD1"
"1999","TM2D1"
"2000","TM2D2"
"2001","TMC7"
"2002","TMED1"
"2003","TMED3"
"2004","TMEM106C"
"2005","TMEM107"
"2006","TMEM131"
"2007","TMEM14C"
"2008","TMEM160"
"2009","TMEM17"
"2010","TMEM170B"
"2011","TMEM18"
"2012","TMEM19"
"2013","TMEM191A"
"2014","TMEM191C"
"2015","TMEM2"
"2016","TMEM200B"
"2017","TMEM208"
"2018","TMEM214"
"2019","TMEM222"
"2020","TMEM237"
"2021","TMEM242"
"2022","TMEM255A"
"2023","TMEM30A"
"2024","TMEM54"
"2025","TMEM59"
"2026","TMEM64"
"2027","TMEM69"
"2028","TMEM71"
"2029","TMEM87A"
"2030","TMEM98"
"2031","TMEM99"
"2032","TMOD1"
"2033","TMPO"
"2034","TMPOP2"
"2035","TMX3"
"2036","TNFRSF10C"
"2037","TNFRSF10D"
"2038","TNFRSF12A"
"2039","TNFRSF13C"
"2040","TNFRSF1A"
"2041","TNIP2"
"2042","TOE1"
"2043","TOMM20P4"
"2044","TOP1"
"2045","TOR3A"
"2046","TOX3"
"2047","TPBG"
"2048","TPCN2"
"2049","TPGS1"
"2050","TPM1"
"2051","TPM3"
"2052","TPMT"
"2053","TPPP"
"2054","TPR"
"2055","TPRKB"
"2056","TRAF3IP1"
"2057","TRAFD1"
"2058","TRAJ24"
"2059","TRAJ32"
"2060","TRAJ35"
"2061","TRAM1"
"2062","TRAM2-AS1"
"2063","TRAPPC1"
"2064","TRAPPC2L"
"2065","TRAV30"
"2066","TRERF1"
"2067","TRIB1"
"2068","TRIB3"
"2069","TRIL"
"2070","TRIM2"
"2071","TRIM26"
"2072","TRIP12"
"2073","TRIR"
"2074","TRIT1"
"2075","TRMT61B"
"2076","TRNP1"
"2077","TRPM7"
"2078","TRPV2"
"2079","TSC22D3"
"2080","TSFM"
"2081","TSHZ1"
"2082","TSPAN6"
"2083","TSPYL2"
"2084","TSR1"
"2085","TSR2"
"2086","TSSK5P"
"2087","TSTA3"
"2088","TTC13"
"2089","TTC31"
"2090","TTC7A"
"2091","TTI2"
"2092","TTPA"
"2093","TUBA4A"
"2094","TUBB4A"
"2095","TUBGCP4"
"2096","TUFM"
"2097","TUFT1"
"2098","TWF2"
"2099","TXNDC12"
"2100","TXNDC17"
"2101","TXNL1"
"2102","TXNL4A"
"2103","TXNRD1"
"2104","TYW3"
"2105","U2AF2"
"2106","U52111.1"
"2107","U62317.1"
"2108","UBA52"
"2109","UBAP2L"
"2110","UBB"
"2111","UBBP1"
"2112","UBE2A"
"2113","UBE2E3"
"2114","UBE2G1"
"2115","UBE2J1"
"2116","UBE2N"
"2117","UBE2Q1"
"2118","UBE2Q2"
"2119","UBE2V2"
"2120","UBFD1"
"2121","UBL7"
"2122","UBL7-AS1"
"2123","UBR5"
"2124","UBXN2A"
"2125","UBXN2B"
"2126","UBXN8"
"2127","UCHL5"
"2128","UCP2"
"2129","UFL1"
"2130","UGGT1"
"2131","UHRF1BP1L"
"2132","ULK2"
"2133","UNC5B"
"2134","UNG"
"2135","UQCC2"
"2136","UQCRFS1"
"2137","UROD"
"2138","USF1"
"2139","USP10"
"2140","USP14"
"2141","USP15"
"2142","USP24"
"2143","USP27X"
"2144","USP27X-AS1"
"2145","USP33"
"2146","USP39"
"2147","USP5"
"2148","USP53"
"2149","USP7"
"2150","USP8"
"2151","UTP11"
"2152","UTP20"
"2153","UTP23"
"2154","UXS1"
"2155","UXT"
"2156","VANGL1"
"2157","VAPA"
"2158","VASP"
"2159","VAT1L"
"2160","VDAC3"
"2161","VEZT"
"2162","VGLL3"
"2163","VIM"
"2164","VIRMA"
"2165","VMA21"
"2166","VPS28"
"2167","VPS35"
"2168","VPS35L"
"2169","VPS37A"
"2170","VPS45"
"2171","VPS4B"
"2172","VPS52"
"2173","VSNL1"
"2174","VSTM2L"
"2175","VTA1"
"2176","VWCE"
"2177","WASHC5"
"2178","WBP11"
"2179","WDR1"
"2180","WDR26"
"2181","WDR33"
"2182","WDR75"
"2183","WDR82"
"2184","WDYHV1"
"2185","WNT5B"
"2186","WRAP53"
"2187","WRN"
"2188","WRNIP1"
"2189","WSB2"
"2190","WWC3"
"2191","XPO7"
"2192","XRCC1"
"2193","XRCC5"
"2194","XXYLT1"
"2195","YAP1"
"2196","YBX1"
"2197","YBX1P4"
"2198","YBX2"
"2199","YIF1B"
"2200","YIPF4"
"2201","YPEL5"
"2202","YTHDF3"
"2203","YWHAE"
"2204","YWHAQ"
"2205","YWHAZ"
"2206","Z74021.1"
"2207","Z94721.1"
"2208","Z97205.1"
"2209","Z99129.4"
"2210","ZADH2"
"2211","ZBTB10"
"2212","ZBTB14"
"2213","ZBTB18"
"2214","ZBTB2"
"2215","ZBTB41"
"2216","ZC3H15"
"2217","ZC3H18"
"2218","ZC3H7A"
"2219","ZCCHC17"
"2220","ZDHHC5"
"2221","ZDHHC7"
"2222","ZFP1"
"2223","ZFP69"
"2224","ZFYVE19"
"2225","ZKSCAN2"
"2226","ZNF100"
"2227","ZNF101"
"2228","ZNF124"
"2229","ZNF135"
"2230","ZNF16"
"2231","ZNF165"
"2232","ZNF180"
"2233","ZNF184"
"2234","ZNF185"
"2235","ZNF204P"
"2236","ZNF232"
"2237","ZNF236"
"2238","ZNF236-DT"
"2239","ZNF251"
"2240","ZNF252P"
"2241","ZNF253"
"2242","ZNF26"
"2243","ZNF268"
"2244","ZNF292"
"2245","ZNF319"
"2246","ZNF331"
"2247","ZNF362"
"2248","ZNF391"
"2249","ZNF41"
"2250","ZNF429"
"2251","ZNF43"
"2252","ZNF440"
"2253","ZNF441"
"2254","ZNF442"
"2255","ZNF491"
"2256","ZNF519"
"2257","ZNF521"
"2258","ZNF532"
"2259","ZNF558"
"2260","ZNF563"
"2261","ZNF572"
"2262","ZNF596"
"2263","ZNF602P"
"2264","ZNF609"
"2265","ZNF623"
"2266","ZNF627"
"2267","ZNF629"
"2268","ZNF641"
"2269","ZNF674"
"2270","ZNF678"
"2271","ZNF682"
"2272","ZNF684"
"2273","ZNF69"
"2274","ZNF706"
"2275","ZNF707"
"2276","ZNF737"
"2277","ZNF75A"
"2278","ZNF76"
"2279","ZNF778"
"2280","ZNF784"
"2281","ZNF823"
"2282","ZNF844"
"2283","ZNF85"
"2284","ZNF876P"
"2285","ZNF93"
"2286","ZNHIT6"
"2287","ZRANB2-AS1"
"2288","ZSCAN18"
"2289","ZSCAN9"
"2290","ZSWIM5"
"2291","ZSWIM6"
"2292","ZYG11B"
