"","blue....PGBCbyQGBC__"
"1325","MTRNR2L12"
"1326","MTRNR2L8"
"1327","MTTP"
"1328","MUL1"
"1329","MYBPC1"
"1330","MYBPHL"
"1331","MYC"
"1332","MYH10"
"1333","MYL12A"
"1334","MYLK"
"1335","MYNN"
"1336","MYSM1"
"1337","MZT1P2"
"1338","N4BP2"
"1339","NAA15"
"1340","NAA50"
"1341","NAAA"
"1342","NABP1"
"1343","NADK"
"1344","NAF1"
"1345","NAGS"
"1346","NAMPT"
"1347","NAMPTP1"
"1348","NAP1L3"
"1349","NAPA"
"1350","NAPRT"
"1351","NASP"
"1352","NBDY"
"1353","NBN"
"1354","NCAPD2"
"1355","NCK1"
"1356","NCLN"
"1357","NDUFA1"
"1358","NDUFC1"
"1359","NDUFS1"
"1360","NDUFS5"
"1361","NECAB2"
"1362","NECAP2"
"1363","NECTIN1"
"1364","NEDD4"
"1365","NET1"
"1366","NEU4"
"1367","NFATC2IP"
"1368","NFE2L2"
"1369","NFKB1"
"1370","NFKBIB"
"1371","NFKBIZ"
"1372","NFYC-AS1"
"1373","NGLY1"
"1374","NHS"
"1375","NIFK"
"1376","NIPA2"
"1377","NIT2"
"1378","NKAP"
"1379","NKX2-5"
"1380","NMD3"
"1381","NMTRQ-TTG12-1"
"1382","NOC2L"
"1383","NOC2LP1"
"1384","NOL9"
"1385","NOP10"
"1386","NOP56P1"
"1387","NOP56P3"
"1388","NOS2"
"1389","NOXO1"
"1390","NPM1P9"
"1391","NPR1"
"1392","NR2E1"
"1393","NRGN"
"1394","NRP1"
"1395","NSDHL"
"1396","NSRP1"
"1397","NSUN7"
"1398","NT5E"
"1399","NTNG2"
"1400","NUDC"
"1401","NUDT11"
"1402","NUDT21"
"1403","NUDT9"
"1404","NUP210"
"1405","NUP35"
"1406","NUP93"
"1407","NUPR1"
"1408","NXPE3"
"1409","OCIAD2"
"1410","OGDHL"
"1411","OGG1"
"1412","OLFM2"
"1413","OLFML2B"
"1414","OR2I1P"
"1415","OSBPL10"
"1416","OSBPL11"
"1417","OSGIN2"
"1418","OSMR"
"1419","OSTC"
"1420","OSTM1"
"1421","OTUD3"
"1422","OTUD4"
"1423","OTUD6B"
"1424","OXSM"
"1425","OXSR1"
"1426","P2RY1"
"1427","P3H1"
"1428","P3H3"
"1429","PABPC4L"
"1430","PACRGL"
"1431","PAM"
"1432","PAMR1"
"1433","PAPLN"
"1434","PAPPA"
"1435","PAPSS1"
"1436","PARD3"
"1437","PARK7"
"1438","PARN"
"1439","PARP1"
"1440","PARP11"
"1441","PCCB"
"1442","PCDH18"
"1443","PCDH9"
"1444","PCDHB2"
"1445","PCOLCE2"
"1446","PCSK1N"
"1447","PDCD5"
"1448","PDCD6IP"
"1449","PDCL3"
"1450","PDE12"
"1451","PDE9A"
"1452","PDGFC"
"1453","PDHA1"
"1454","PDHB"
"1455","PDIA5"
"1456","PDIK1L"
"1457","PDLIM5"
"1458","PEPD"
"1459","PEX10"
"1460","PEX13"
"1461","PEX14"
"1462","PFDN2"
"1463","PFDN6"
"1464","PGBD5"
"1465","PGD"
"1466","PGM2"
"1467","PGM3"
"1468","PGRMC1"
"1469","PHACTR4"
"1470","PHF10"
"1471","PHF13"
"1472","PHF6"
"1473","PHKA1P1"
"1474","PHKA2"
"1475","PHKA2-AS1"
"1476","PHLDB1"
"1477","PHLDB2"
"1478","PHLPP1"
"1479","PHLPP2"
"1480","PI4K2B"
"1481","PICALM"
"1482","PICK1"
"1483","PIEZO1"
"1484","PIGA"
"1485","PIGN"
"1486","PIK3CD"
"1487","PIK3R4"
"1488","PIP4K2A"
"1489","PIP5K1A"
"1490","PITHD1"
"1491","PJA1"
"1492","PKD1P5"
"1493","PKD2"
"1494","PKMP1"
"1495","PLA2G12AP2"
"1496","PLCXD1"
"1497","PLEKHA5"
"1498","PLEKHA6"
"1499","PLEKHA8P1"
"1500","PLEKHF1"
"1501","PLEKHF2"
"1502","PLEKHG1"
"1503","PLEKHG6"
"1504","PLEKHJ1"
"1505","PLEKHN1"
"1506","PLLP"
"1507","PLOD2"
"1508","PLPPR4"
"1509","PLSCR4"
"1510","PLXNB1"
"1511","PMM2"
"1512","PMVK"
"1513","PNKD"
"1514","PNRC2"
"1515","POGLUT1"
"1516","POLA1"
"1517","POLR1A"
"1518","POLR1B"
"1519","POLR2B"
"1520","POLR2D"
"1521","POLR3GL"
"1522","POP1"
"1523","POP4"
"1524","POP5"
"1525","POSTN"
"1526","PPA2"
"1527","PPIAP22"
"1528","PPIAP31"
"1529","PPIAP33"
"1530","PPIAP60"
"1531","PPIAP77"
"1532","PPIAP8"
"1533","PPID"
"1534","PPIH"
"1535","PPM1G"
"1536","PPP1CB"
"1537","PPP1R12A"
"1538","PPP1R14BP5"
"1539","PPP1R7"
"1540","PPP3CA"
"1541","PPP4R2"
"1542","PQBP1"
"1543","PRADC1"
"1544","PRAF2"
"1545","PRDM8"
"1546","PRDX4"
"1547","PRDX6"
"1548","PRELID1P1"
"1549","PRIMPOL"
"1550","PRKAR2A"
"1551","PRKAR2B"
"1552","PRKDC"
"1553","PRMT6"
"1554","PROS1"
"1555","PRPF18"
"1556","PRPF38A"
"1557","PRPS2"
"1558","PRR19"
"1559","PRR22"
"1560","PRRG4"
"1561","PRRX1"
"1562","PRSS35"
"1563","PSKH1"
"1564","PSMA5"
"1565","PSMD2"
"1566","PSMD4"
"1567","PSMD6"
"1568","PSMD7"
"1569","PSME2P2"
"1570","PSME4"
"1571","PSRC1"
"1572","PSTPIP2"
"1573","PTCH1"
"1574","PTER"
"1575","PTGES"
"1576","PTPN9"
"1577","PTPRN"
"1578","PTX4"
"1579","PUDP"
"1580","PUS7L"
"1581","PUSL1"
"1582","PXN-AS1"
"1583","PXYLP1"
"1584","PYURF"
"1585","QPRT"
"1586","QRICH1"
"1587","QRSL1"
"1588","QSOX1"
"1589","QTRT2"
"1590","R3HDM1"
"1591","RAB10"
"1592","RAB13"
"1593","RAB1B"
"1594","RAB27A"
"1595","RAB28"
"1596","RAB32"
"1597","RAB33A"
"1598","RAB3GAP1"
"1599","RAB5CP2"
"1600","RAB6B"
"1601","RAB7B"
"1602","RAB8A"
"1603","RAC1P2"
"1604","RAD18"
"1605","RAD21-AS1"
"1606","RAF1"
"1607","RAI14"
"1608","RALB"
"1609","RAMP1"
"1610","RANP1"
"1611","RAP1GAP"
"1612","RAP1GDS1"
"1613","RAP2C"
"1614","RARRES2"
"1615","RASA2"
"1616","RASSF9"
"1617","RBBP4"
"1618","RBBP7"
"1619","RBBP8"
"1620","RBM12B"
"1621","RBM15"
"1622","RBM15B"
"1623","RBM42"
"1624","RBM43"
"1625","RBM45"
"1626","RBM47"
"1627","RBM8A"
"1628","RBMX2"
"1629","RBP5"
"1630","RBPJ"
"1631","RCAN1"
"1632","RCC1"
"1633","RCC2"
"1634","RCCD1"
"1635","RCHY1"
"1636","RDM1"
"1637","RECQL"
"1638","RECQL4"
"1639","RER1"
"1640","REST"
"1641","RFC1"
"1642","RFC4"
"1643","RFT1"
"1644","RFTN1"
"1645","RFX5"
"1646","RGS17"
"1647","RGS20"
"1648","RGS4"
"1649","RHCG"
"1650","RHOD"
"1651","RHOG"
"1652","RIDA"
"1653","RIOX2"
"1654","RIPOR2"
"1655","RLIM"
"1656","RMDN1"
"1657","RN7SL151P"
"1658","RN7SL184P"
"1659","RN7SL208P"
"1660","RN7SL336P"
"1661","RN7SL66P"
"1662","RN7SL70P"
"1663","RNA5SP25"
"1664","RNF112"
"1665","RNF135"
"1666","RNF144B"
"1667","RNF207"
"1668","RNF7"
"1669","RNGTT"
"1670","RNU1-132P"
"1671","RNU2-24P"
"1672","RNU2-52P"
"1673","RNU4-35P"
"1674","RNU4-90P"
"1675","RNU6-1011P"
"1676","RNU6-1085P"
"1677","RNU6-1091P"
"1678","RNU6-307P"
"1679","RNU6-510P"
"1680","RNU6-725P"
"1681","RNU6-92P"
"1682","RNU6ATAC36P"
"1683","RNVU1-6"
"1684","RNY3P8"
"1685","RP2"
"1686","RPF2"
"1687","RPGRIP1L"
"1688","RPIA"
"1689","RPL12P33"
"1690","RPL12P42"
"1691","RPL21P111"
"1692","RPL22P2"
"1693","RPL23AP65"
"1694","RPL23AP75"
"1695","RPL23P8"
"1696","RPL24P2"
"1697","RPL24P4"
"1698","RPL29P19"
"1699","RPL34P27"
"1700","RPL39P18"
"1701","RPL4P3"
"1702","RPL7P19"
"1703","RPL7P4"
"1704","RPL7P44"
"1705","RPN1"
"1706","RPP40"
"1707","RPRD1A"
"1708","RPS18P12"
"1709","RPS23P1"
"1710","RPS27AP11"
"1711","RPS27AP6"
"1712","RPS29P5"
"1713","RPS4XP1"
"1714","RPS4XP10"
"1715","RPS4XP11"
"1716","RPS7P4"
"1717","RPSAP11"
"1718","RPSAP12"
"1719","RPSAP4"
"1720","RPSAP47"
"1721","RPSAP54"
"1722","RRAGC"
"1723","RRP15"
"1724","RRP9"
"1725","RSL24D1P3"
"1726","RSPRY1"
"1727","RTL8A"
"1728","RTL8C"
"1729","RTN3P1"
"1730","RTN4IP1"
"1731","RTN4RL2"
"1732","RUNX1"
"1733","RUSC1"
"1734","RUVBL1"
"1735","RWDD4"
"1736","RYBP"
"1737","RYK"
"1738","S100A16"
"1739","S100PBP"
"1740","S1PR5"
"1741","SAE1"
"1742","SAMD1"
"1743","SAP30"
"1744","SBSPON"
"1745","SCAMP3"
"1746","SCARB2"
"1747","SCD5"
"1748","SCG5"
"1749","SCLT1"
"1750","SCML1"
"1751","SCN8A"
"1752","SCP2"
"1753","SCRG1"
"1754","SCRN3"
"1755","SDC2"
"1756","SDE2"
"1757","SDF2L1"
"1758","SDF4"
"1759","SDHB"
"1760","SDSL"
"1761","SEC11A"
"1762","SEC13"
"1763","SEC22C"
"1764","SEC24D"
"1765","SEC63"
"1766","SEH1L"
"1767","SELENOI"
"1768","SELENOK"
"1769","SELENOT"
"1770","SEM1P1"
"1771","SEMA5B"
"1772","SENP3"
"1773","SERBP1"
"1774","SERPINB9P1"
"1775","SERPINF2"
"1776","SERPINH1P1"
"1777","SERTAD1"
"1778","SETP14"
"1779","SETP17"
"1780","SETP20"
"1781","SF3A3"
"1782","SF3B3"
"1783","SFT2D2"
"1784","SFXN2"
"1785","SFXN5"
"1786","SGMS1"
"1787","SGO1"
"1788","SH2D4A"
"1789","SH3BGR"
"1790","SH3BGRL3"
"1791","SH3BP4"
"1792","SH3GL1"
"1793","SH3TC2"
"1794","SHOX2"
"1795","SHQ1"
"1796","SHROOM1"
"1797","SHROOM4"
"1798","SHTN1"
"1799","SIK1B"
"1800","SIPA1"
"1801","SKIL"
"1802","SLAIN2"
"1803","SLC10A3"
"1804","SLC15A2"
"1805","SLC16A1"
"1806","SLC19A3"
"1807","SLC1A2"
"1808","SLC1A5"
"1809","SLC22A5"
"1810","SLC25A14"
"1811","SLC25A33"
"1812","SLC25A38"
"1813","SLC25A44"
"1814","SLC25A5"
"1815","SLC25A5-AS1"
"1816","SLC29A2"
"1817","SLC2A10"
"1818","SLC30A6"
"1819","SLC30A9"
"1820","SLC35A1"
"1821","SLC35A2"
"1822","SLC35D1"
"1823","SLC35E2B"
"1824","SLC35F2"
"1825","SLC39A14"
"1826","SLC39A7"
"1827","SLC41A3"
"1828","SLC43A3"
"1829","SLC50A1"
"1830","SLC6A15"
"1831","SLC7A5"
"1832","SLC7A5P1"
"1833","SLITRK1"
"1834","SMAD4"
"1835","SMARCA1"
"1836","SMARCA5"
"1837","SMARCC1"
"1838","SMC1A"
"1839","SMIM12"
"1840","SMIM3"
"1841","SMIM4"
"1842","SMIM8"
"1843","SNAP23P1"
"1844","SNHG12"
"1845","SNHG9"
"1846","SNIP1"
"1847","SNORD3A"
"1848","SNORD3B-1"
"1849","SNRNP40"
"1850","SNRPCP3"
"1851","SNRPCP8"
"1852","SNX12"
"1853","SNX16"
"1854","SNX4"
"1855","SNX7"
"1856","SOAT1"
"1857","SOCS3"
"1858","SOCS5"
"1859","SOCS5P4"
"1860","SOD1P1"
"1861","SORT1"
"1862","SOWAHC"
"1863","SOX2-OT"
"1864","SOX3"
"1865","SP5"
"1866","SPARCL1"
"1867","SPATA4"
"1868","SPATS2L"
"1869","SPCS3"
"1870","SPG21"
"1871","SPHK2"
"1872","SPIN2B"
"1873","SPIN3"
"1874","SPOCK2"
"1875","SPOPL"
"1876","SPRED1"
"1877","SPRY3"
"1878","SPSB4"
"1879","SQLE"
"1880","SRBD1"
"1881","SREBF2"
"1882","SRM"
"1883","SRPRB"
"1884","SRPX2"
"1885","SRSF10"
"1886","SRSF4"
"1887","SRSF9"
"1888","SRSF9P1"
"1889","SSC5D"
"1890","SSR3"
"1891","SSR4"
"1892","SSU72"
"1893","SSX2IP"
"1894","ST13P5"
"1895","ST8SIA5"
"1896","STAG1"
"1897","STAG2"
"1898","STIM2"
"1899","STK17B"
"1900","STK24-AS1"
"1901","STMN1"
"1902","STOML1"
"1903","STOX1"
"1904","STRADB"
"1905","STRN"
"1906","STS"
"1907","STT3B"
"1908","SUCLG2"
"1909","SUMF1"
"1910","SUSD2"
"1911","SVIP"
"1912","SYAP1"
"1913","SYCE3"
"1914","SYK"
"1915","SYNC"
"1916","SYP"
"1917","SYTL4"
"1918","TAB3"
"1919","TADA3"
"1920","TAF12"
"1921","TAF13"
"1922","TAF15"
"1923","TAF1A"
"1924","TAF5L"
"1925","TAF9B"
"1926","TATDN2"
"1927","TBC1D1"
"1928","TBC1D23"
"1929","TBC1D4"
"1930","TBCB"
"1931","TCEAL1"
"1932","TCEAL3"
"1933","TCEAL4"
"1934","TCEAL8"
"1935","TCF12"
"1936","TCTA"
"1937","TCTN2"
"1938","TDGF1P7"
"1939","TDO2"
"1940","TDRKH"
"1941","TEAD4"
"1942","TEDC2"
"1943","TENM3"
"1944","TERF2"
"1945","TET2"
"1946","TFDP2"
"1947","TFG"
"1948","TGFB2"
"1949","TGFB2-AS1"
"1950","TGFBR2"
"1951","TGM2"
"1952","THADA"
"1953","THAP9"
"1954","THBS1"
"1955","THOC2"
"1956","THOP1"
"1957","THRAP3"
"1958","THRB"
"1959","TIGD2"
"1960","TIMELESS"
"1961","TIMM17A"
"1962","TIMM8A"
"1963","TIMM8AP1"
"1964","TIMMDC1"
"1965","TIPIN"
"1966","TIPRL"
"1967","TJP1"
"1968","TLDC1"
"1969","TLR3"
"1970","TM4SF1"
"1971","TMA16"
"1972","TMCC1-AS1"
"1973","TMCO1"
"1974","TMCO4"
"1975","TMED2"
"1976","TMEM109"
"1977","TMEM119"
"1978","TMEM123"
"1979","TMEM144"
"1980","TMEM14A"
"1981","TMEM154"
"1982","TMEM158"
"1983","TMEM164"
"1984","TMEM177"
"1985","TMEM185A"
"1986","TMEM185B"
"1987","TMEM187"
"1988","TMEM192"
"1989","TMEM200A"
"1990","TMEM201"
"1991","TMEM206"
"1992","TMEM234"
"1993","TMEM35A"
"1994","TMEM39B"
"1995","TMEM41A"
"1996","TMEM43"
"1997","TMEM47"
"1998","TMEM50A"
"1999","TMEM87B"
"2000","TMEM88B"
"2001","TMEM9"
"2002","TMEM92-AS1"
"2003","TMEM97"
"2004","TMOD2"
"2005","TMOD3"
"2006","TMSB15A"
"2007","TNFAIP2"
"2008","TNFAIP3"
"2009","TNFAIP6"
"2010","TNFRSF10A-AS1"
"2011","TNFRSF11B"
"2012","TNFRSF18"
"2013","TNFRSF1B"
"2014","TNFSF4"
"2015","TNS1"
"2016","TNS3"
"2017","TOMM40L"
"2018","TOMM70"
"2019","TONSL"
"2020","TOP2B"
"2021","TOPBP1"
"2022","TOR1AIP2"
"2023","TOR4A"
"2024","TP73-AS1"
"2025","TPGS2"
"2026","TPI1"
"2027","TPI1P1"
"2028","TPM2"
"2029","TPPP3"
"2030","TPRA1"
"2031","TRA2B"
"2032","TRAF3IP2-AS1"
"2033","TRAF5"
"2034","TRAJ1"
"2035","TRAJ16"
"2036","TRAJ23"
"2037","TRAJ27"
"2038","TRAJ28"
"2039","TRAJ43"
"2040","TRAK1"
"2041","TRAM1L1"
"2042","TRAPPC2"
"2043","TRAPPC3"
"2044","TRBV7-3"
"2045","TRBV8-2"
"2046","TREH"
"2047","TRIO"
"2048","TRIP4"
"2049","TRMT10A"
"2050","TRMT12"
"2051","TRMT2B"
"2052","TRNT1"
"2053","TRO"
"2054","TSC22D2"
"2055","TSEN34"
"2056","TSLP"
"2057","TSPAN13"
"2058","TSPAN33"
"2059","TSPAN5"
"2060","TSPOAP1"
"2061","TSTD3"
"2062","TTC12"
"2063","TTC27"
"2064","TTL"
"2065","TUBB2A"
"2066","TUBB2B"
"2067","TUBBP1"
"2068","TUBGCP5"
"2069","TULP3"
"2070","TWF1"
"2071","TWF1P1"
"2072","TWSG1"
"2073","TXNDC2"
"2074","TXNL4B"
"2075","TYMS"
"2076","U2SURP"
"2077","UAP1"
"2078","UBA1"
"2079","UBA2"
"2080","UBA3"
"2081","UBE2D3"
"2082","UBE2J2"
"2083","UBE2K"
"2084","UBE2S"
"2085","UBIAD1"
"2086","UBTF"
"2087","UCK2"
"2088","UCN2"
"2089","UGDH"
"2090","UGT8"
"2091","UHMK1"
"2092","ULBP2"
"2093","ULBP3"
"2094","UMPS"
"2095","UPF3B"
"2096","UPRT"
"2097","UQCRH"
"2098","URB2"
"2099","USB1"
"2100","USF3"
"2101","USO1"
"2102","USP12PX"
"2103","USP13"
"2104","USP4"
"2105","USP48"
"2106","UST"
"2107","UTP3"
"2108","UTP4"
"2109","VAC14"
"2110","VAMP3"
"2111","VAMP5"
"2112","VAMP7"
"2113","VARS"
"2114","VBP1"
"2115","VEGFC"
"2116","VN1R84P"
"2117","VPS72"
"2118","VSIG10L"
"2119","VSIG2"
"2120","VWA1"
"2121","WASF1"
"2122","WASF2"
"2123","WDR12"
"2124","WDR3"
"2125","WDR43"
"2126","WDR44"
"2127","WDR45"
"2128","WDR46"
"2129","WDR48"
"2130","WDR62"
"2131","WDR76"
"2132","WDR77"
"2133","WDR81"
"2134","WLS"
"2135","WNK3"
"2136","WNT10B"
"2137","WNT7B"
"2138","WWC1"
"2139","WWC2-AS2"
"2140","XIAP"
"2141","XKR8"
"2142","XPO1"
"2143","XPR1"
"2144","XRCC6P2"
"2145","XRN1"
"2146","XYLB"
"2147","XYLT1"
"2148","YAF2"
"2149","YARS"
"2150","YARS2"
"2151","YBX1P10"
"2152","YES1"
"2153","YIPF6"
"2154","YRDC"
"2155","YTHDC1"
"2156","YTHDF3-AS1"
"2157","YWHAZP3"
"2158","YWHAZP4"
"2159","YWHAZP6"
"2160","Z69890.1"
"2161","Z96811.1"
"2162","Z97205.2"
"2163","Z97353.1"
"2164","Z98200.1"
"2165","ZAR1"
"2166","ZBTB11"
"2167","ZBTB11-AS1"
"2168","ZBTB24"
"2169","ZBTB8OS"
"2170","ZC3H12A"
"2171","ZDHHC9"
"2172","ZFHX4"
"2173","ZFP3"
"2174","ZFX"
"2175","ZIK1"
"2176","ZMAT1"
"2177","ZMPSTE24"
"2178","ZMYM1"
"2179","ZMYM4"
"2180","ZMYND15"
"2181","ZNF112"
"2182","ZNF148"
"2183","ZNF175"
"2184","ZNF214"
"2185","ZNF215"
"2186","ZNF24"
"2187","ZNF256"
"2188","ZNF271P"
"2189","ZNF275"
"2190","ZNF28"
"2191","ZNF322"
"2192","ZNF347"
"2193","ZNF432"
"2194","ZNF436"
"2195","ZNF439"
"2196","ZNF449"
"2197","ZNF451"
"2198","ZNF502"
"2199","ZNF503"
"2200","ZNF503-AS2"
"2201","ZNF518B"
"2202","ZNF530"
"2203","ZNF583"
"2204","ZNF614"
"2205","ZNF638"
"2206","ZNF639"
"2207","ZNF644"
"2208","ZNF648"
"2209","ZNF665"
"2210","ZNF669"
"2211","ZNF674-AS1"
"2212","ZNF699"
"2213","ZNF711"
"2214","ZNF714"
"2215","ZNF718"
"2216","ZNF761"
"2217","ZNF765"
"2218","ZNF770"
"2219","ZNF787"
"2220","ZNF792"
"2221","ZNF81"
"2222","ZNF813"
"2223","ZNF835"
"2224","ZNF845"
"2225","ZNF846"
"2226","ZNF850"
"2227","ZNF852"
"2228","ZRANB2"
"2229","ZRSR2"
"2230","ZSCAN1"
"2231","ZSCAN20"
"2232","ZSWIM9"
"2233","ZXDA"
"2234","ZXDB"
