PSID Gene Module kTotal kWithin kOut kDiff rank
LINC02451 LINC02451 HuAgeGBsplit_02 23.9271758422837 15.8798792900361 8.04729655224757 7.83258273778855 123
AC113355.1 AC113355.1 HuAgeGBsplit_02 26.7661391163194 15.8311695860839 10.9349695302355 4.8962000558484 124
AC009387.1 AC009387.1 HuAgeGBsplit_02 33.0153700443101 15.7790555973886 17.2363144469215 -1.45725884953289 125
AC021074.3 AC021074.3 HuAgeGBsplit_02 31.5017056477647 15.7751252926193 15.7265803551454 0.0485449374738742 126
PQLC2L PQLC2L HuAgeGBsplit_02 29.4953318300608 15.5221613514257 13.973170478635 1.54899087279071 127
CIR1P3 CIR1P3 HuAgeGBsplit_02 22.5138969665294 15.4093620885306 7.1045348779987 8.30482721053194 128
AC103798.1 AC103798.1 HuAgeGBsplit_02 26.8441262370807 15.3879828920658 11.4561433450149 3.93183954705087 129
AC067960.1 AC067960.1 HuAgeGBsplit_02 22.4295888388644 15.3828555878815 7.04673325098285 8.33612233689867 130
LINC02066 LINC02066 HuAgeGBsplit_02 23.312591205487 15.3031394360323 8.00945176945478 7.2936876665775 131
AC105362.1 AC105362.1 HuAgeGBsplit_02 23.258900413 15.275514035648 7.98338637735198 7.29212765829601 132
CENPIP1 CENPIP1 HuAgeGBsplit_02 24.25822119836 14.6745784187045 9.58364277965559 5.09093563904886 133
YWHAEP7 YWHAEP7 HuAgeGBsplit_02 30.5978615371614 14.559232345263 16.0386291918985 -1.47939684663553 134
AL589678.1 AL589678.1 HuAgeGBsplit_02 21.4911822543512 14.4225391629469 7.0686430914043 7.35389607154258 135
LINC01913 LINC01913 HuAgeGBsplit_02 34.7431219657258 14.363104363897 20.3800176018288 -6.01691323793187 136
AC068733.2 AC068733.2 HuAgeGBsplit_02 27.4203698100188 14.2906765428797 13.1296932671391 1.16098327574057 137
AC083906.4 AC083906.4 HuAgeGBsplit_02 23.2095501776462 14.2419634869509 8.96758669069537 5.2743767962555 138
AC097494.1 AC097494.1 HuAgeGBsplit_02 28.4150425720197 14.1609215917284 14.2541209802913 -0.0931993885629048 139
RNU6-428P RNU6-428P HuAgeGBsplit_02 22.3964282659621 14.1160839141985 8.28034435176363 5.83573956243485 140
LINC02511 LINC02511 HuAgeGBsplit_02 25.9672250390101 14.0963745140148 11.8708505249953 2.22552398901949 141
AL355390.2 AL355390.2 HuAgeGBsplit_02 24.2690384606431 14.065034316317 10.2040041443261 3.8610301719909 142
VN2R3P VN2R3P HuAgeGBsplit_02 21.4336505718475 13.9200829411444 7.51356763070317 6.40651531044119 143
THEM7P THEM7P HuAgeGBsplit_02 28.539048244046 13.9153197887046 14.6237284553414 -0.70840866663686 144
AC087499.5 AC087499.5 HuAgeGBsplit_02 23.4512937567913 13.8877906183808 9.56350313841052 4.32428747997028 145
RF00411 RF00411 HuAgeGBsplit_02 20.7120937293763 13.6551279030973 7.05696582627905 6.59816207681821 146
GTF3AP1 GTF3AP1 HuAgeGBsplit_02 21.5698940054231 13.6550423959509 7.9148516094722 5.74019078647867 147
RN7SL223P RN7SL223P HuAgeGBsplit_02 20.5374759310225 13.454662184627 7.08281374639557 6.3718484382314 148
GTF2IP6 GTF2IP6 HuAgeGBsplit_02 30.5848974296745 13.4079302923403 17.1769671373342 -3.76903684499384 149
AL121972.1 AL121972.1 HuAgeGBsplit_02 21.3185475682653 13.3510499014713 7.96749766679397 5.38355223467731 150
LINC02441 LINC02441 HuAgeGBsplit_02 23.5548684168123 13.3469668836438 10.2079015331685 3.13906535047529 151
LINC00113 LINC00113 HuAgeGBsplit_02 27.0432601892222 13.2294979011632 13.813762288059 -0.584264386895839 152
SPINK4 SPINK4 HuAgeGBsplit_02 21.7144901963367 13.209455183684 8.50503501265265 4.70442017103139 153
AL583785.1 AL583785.1 HuAgeGBsplit_02 21.1062924444389 13.1146228889422 7.99166955549675 5.12295333344541 154
AP003174.2 AP003174.2 HuAgeGBsplit_02 26.1190200173515 13.0159562784799 13.1030637388716 -0.0871074603917315 155
VN2R1P VN2R1P HuAgeGBsplit_02 22.4907128838326 13.0152919027013 9.47542098113127 3.53987092157005 156
AC118942.1 AC118942.1 HuAgeGBsplit_02 24.6250257934118 13.0056961276154 11.6193296657965 1.38636646181887 157
LINC02499 LINC02499 HuAgeGBsplit_02 28.2221605822503 12.9583626339941 15.2637979482562 -2.30543531426211 158
AC105758.1 AC105758.1 HuAgeGBsplit_02 21.1604241870222 12.8456057015764 8.31481848544583 4.53078721613053 159
AP000676.3 AP000676.3 HuAgeGBsplit_02 21.1211934846371 12.7320997419482 8.38909374268891 4.34300599925928 160
AC016266.1 AC016266.1 HuAgeGBsplit_02 24.2591936427334 12.6999785481518 11.5592150945816 1.14076345357017 161
LINC01646 LINC01646 HuAgeGBsplit_02 24.9627054215927 12.6036175465994 12.3590878749933 0.244529671606077 162
AC122138.1 AC122138.1 HuAgeGBsplit_02 26.9748545595875 12.5816967265531 14.3931578330343 -1.81146110648119 163
LINC02428 LINC02428 HuAgeGBsplit_02 24.8665020303807 12.5460689612175 12.3204330691633 0.225635892054218 164
LINC00379 LINC00379 HuAgeGBsplit_02 23.0505150735719 12.5452764225709 10.505238651001 2.04003777156986 165
HNRNPA1P30 HNRNPA1P30 HuAgeGBsplit_02 20.1777840672371 12.5011614486069 7.67662261863014 4.8245388299768 166
RPS15AP32 RPS15AP32 HuAgeGBsplit_02 19.7748142306876 12.4802398348788 7.29457439580888 5.18566543906988 167
LINC01768 LINC01768 HuAgeGBsplit_02 22.6139954862552 12.4233890402566 10.1906064459986 2.23278259425796 168
DLEU1 DLEU1 HuAgeGBsplit_02 22.2120275947216 12.4123006174099 9.79972697731171 2.61257364009821 169
FAM240B FAM240B HuAgeGBsplit_02 21.6565566282724 12.3962677133267 9.26028891494565 3.13597879838106 170
AL355592.1 AL355592.1 HuAgeGBsplit_02 23.4067247143388 12.3550730153 11.0516516990388 1.30342131626117 171
AC026765.2 AC026765.2 HuAgeGBsplit_02 21.9986541190015 12.1979097780654 9.80074434093612 2.39716543712924 172
C9orf92 C9orf92 HuAgeGBsplit_02 19.6531143122834 12.1649964905713 7.48811782171217 4.6768786688591 173
AL109947.1 AL109947.1 HuAgeGBsplit_02 19.0471844275429 12.147142300947 6.90004212659586 5.24710017435113 174
SGO1-AS1 SGO1-AS1 HuAgeGBsplit_02 22.7210440863529 12.1287355065892 10.5923085797636 1.53642692682562 175
KRTAP17-1 KRTAP17-1 HuAgeGBsplit_02 19.7529866049201 12.1065663890715 7.64642021584857 4.46014617322295 176
LINC02439 LINC02439 HuAgeGBsplit_02 21.0208563950446 12.0419340671058 8.97892232793878 3.06301173916703 177
RNU6-1090P RNU6-1090P HuAgeGBsplit_02 21.4055456211528 11.9518655712444 9.45368004990842 2.498185521336 178
AC092422.1 AC092422.1 HuAgeGBsplit_02 23.3118784674982 11.9131538112108 11.3987246562874 0.514429154923452 179
AC106053.1 AC106053.1 HuAgeGBsplit_02 28.7266569429791 11.9007965685706 16.8258603744085 -4.92506380583787 180
AC013399.1 AC013399.1 HuAgeGBsplit_02 19.191770425158 11.8939875175833 7.29778290757468 4.5962046100086 181
AC117386.2 AC117386.2 HuAgeGBsplit_02 26.4096076908561 11.8588712767016 14.5507364141545 -2.69186513745283 182
