"","PGBO","QGBO","No_data","No_data","GBM_cells_in_3D_organoid_culture"
"AC010201.1",3.81886078392692,3.25470450051139,3.53678264221916,3.53678264221916,3.53678264221916
"AC010201.2",4.27060696014814,3.79669939908074,4.03365317961444,4.03365317961444,4.03365317961444
"AC010203.2",0.66351960994763,0.513349223417119,0.588434416682374,0.588434416682374,0.588434416682374
"AC010245.2",2.96807341945808,2.4065251158514,2.68729926765474,2.68729926765474,2.68729926765474
"AC010327.4",0.46739532091949,0.27873765991736,0.373066490418425,0.373066490418425,0.373066490418425
"AC010422.2",1.43064363877549,1.29059083541969,1.36061723709759,1.36061723709759,1.36061723709759
"AC010491.1",1.07608818151119,0.634289581346029,0.855188881428609,0.855188881428609,0.855188881428609
"AC010615.1",2.32188497825726,2.0067706688065,2.16432782353188,2.16432782353188,2.16432782353188
"AC010618.3",1.43922695413774,1.15079381205268,1.29501038309521,1.29501038309521,1.29501038309521
"AC010654.1",1.7089336689939,1.13077913406994,1.41985640153192,1.41985640153192,1.41985640153192
"AC010719.1",2.86299222876559,2.34924721731025,2.60611972303792,2.60611972303792,2.60611972303792
"AC010883.1",1.79184949353039,1.37203913007134,1.58194431180087,1.58194431180087,1.58194431180087
"AC010894.5",0.541168260127887,0.268321157990871,0.404744709059379,0.404744709059379,0.404744709059379
"AC012213.1",1.44238838624687,0.922143959767389,1.18226617300713,1.18226617300713,1.18226617300713
"AC012254.3",0.770669213974283,0.50296157090255,0.636815392438416,0.636815392438416,0.636815392438416
"AC012313.5",2.62632943846001,2.24533552936324,2.43583248391163,2.43583248391163,2.43583248391163
"AC012354.2",0.620424944091186,0,0.310212472045593,0.310212472045593,0.310212472045593
"AC012462.3",1.70276251336975,0.6495260977521,1.17614430556093,1.17614430556093,1.17614430556093
"AC012508.2",0.791029153951455,0.489189056027615,0.640109104989535,0.640109104989535,0.640109104989535
"AC012512.1",5.07193938976405,4.44673624086369,4.75933781531387,4.75933781531387,4.75933781531387
"AC013400.1",0.769771521296085,0.350882996817605,0.560327259056845,0.560327259056845,0.560327259056845
"AC013451.2",0.479371893076448,0.214546034801275,0.346958963938861,0.346958963938861,0.346958963938861
"AC015813.7",0.834831434993196,0.236405460988784,0.53561844799099,0.53561844799099,0.53561844799099
