"InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"c1_HuAgeGBsplitRnaseq_61","TAPbyQNP__","User",2.0511444353603e-10
"c1_HuAgeGBsplitRnaseq_57","QSVZbyPSVZ__","User",2.44326913461302e-10
"c1_HuAgeGBsplitRnaseq_68","PSVZbyQSVZ__","User",2.52132533299368e-10
"c1_HuAgeGBsplitRnaseq_31","NPCbyNSC__","User",3.04828884811703e-10
"c1_HuAgeGBsplitRnaseq_332","QSVZbyPSVZ__","User",3.25834206654493e-10
"c1_HuAgeGBsplitRnaseq_45","NPCbyNSC__","User",3.77844004948353e-10
"c1_HuAgeGBsplitRnaseq_178","TAPbyQNP__","User",5.51278440161828e-10
"c1_HuAgeGBsplitRnaseq_42","PSVZbyQSVZ__","User",5.56431738212873e-10
"c1_HuAgeGBsplitRnaseq_156","TAPbyQNP__","User",7.78359631997077e-10
"c1_HuAgeGBsplitRnaseq_331","PGBCbyQGBC__","User",8.38357737773801e-10
"c1_HuAgeGBsplitRnaseq_68","TAPbyQNP__","User",1.12024516182242e-09
"c1_HuAgeGBsplitRnaseq_303","PGBCbyQGBC__","User",2.18266175472839e-09
"c1_HuAgeGBsplitRnaseq_36","TAPbyQNP__","User",2.34454450241219e-09
"c1_HuAgeGBsplitRnaseq_305","PGBCbyQGBC__","User",2.36187379903634e-09
"c1_HuAgeGBsplitRnaseq_332","QNPbyTAP__","User",2.48936388154905e-09
"c1_HuAgeGBsplitRnaseq_82","TAPbyQNP__","User",2.56450166851499e-09
"c1_HuAgeGBsplitRnaseq_61","QNPbyTAP__","User",2.84349552960236e-09
"c1_HuAgeGBsplitRnaseq_292","TAPbyQNP__","User",2.85583379824272e-09
"c1_HuAgeGBsplitRnaseq_356","PGBCbyQGBC__","User",3.91646437725199e-09
"c1_HuAgeGBsplitRnaseq_193","QNPbyTAP__","User",7.05821529367353e-09
"c1_HuAgeGBsplitRnaseq_306","TAPbyQNP__","User",1.17253792330825e-08
"c1_HuAgeGBsplitRnaseq_28","PGBObyQGBO__","User",1.2683727193839e-08
"c1_HuAgeGBsplitRnaseq_830","NSCbyNPC__","User",2.12784941559905e-08
"c1_HuAgeGBsplitRnaseq_186","NPCbyNSC__","User",2.32833180106768e-08
"c1_HuAgeGBsplitRnaseq_36","QGBCbyPGBC__","User",4.75498217498332e-08
"c1_HuAgeGBsplitRnaseq_49","QGBObyPGBO__","User",4.97811137865923e-08
"c1_HuAgeGBsplitRnaseq_161","QSVZbyPSVZ__","User",5.99769467033134e-08
"c1_HuAgeGBsplitRnaseq_189","TAPbyQNP__","User",6.02006052350053e-08
"c1_HuAgeGBsplitRnaseq_305","PSVZbyQSVZ__","User",6.39913045309593e-08
"c1_HuAgeGBsplitRnaseq_58","PGBCbyQGBC__","User",6.59394923043762e-08
"c1_HuAgeGBsplitRnaseq_217","QSVZbyPSVZ__","User",7.0914379723656e-08
"c1_HuAgeGBsplitRnaseq_185","PGBObyQGBO__","User",7.57538877613755e-08
"c1_HuAgeGBsplitRnaseq_57","NPCbyNSC__","User",7.65241362253775e-08
"c1_HuAgeGBsplitRnaseq_62","QNPbyTAP__","User",8.02992022178777e-08
"c1_HuAgeGBsplitRnaseq_691","PSVZbyQSVZ__","User",9.81466829257403e-08
"c1_HuAgeGBsplitRnaseq_43","NSCbyNPC__","User",1.08920950114766e-07
"c1_HuAgeGBsplitRnaseq_60","QGBCbyPGBC__","User",1.12528907627854e-07
"c1_HuAgeGBsplitRnaseq_253","NSCbyNPC__","User",1.13257049149867e-07
"c1_HuAgeGBsplitRnaseq_50","PSVZbyQSVZ__","User",1.17501645980904e-07
"c1_HuAgeGBsplitRnaseq_964","PSVZbyQSVZ__","User",1.1762859020113e-07
"c1_HuAgeGBsplitRnaseq_34","PGBCbyQGBC__","User",1.19569254674652e-07
"c1_HuAgeGBsplitRnaseq_830","PSVZbyQSVZ__","User",1.46320996274025e-07
"c1_HuAgeGBsplitRnaseq_27","NSCbyNPC__","User",1.48840242802221e-07
"c1_HuAgeGBsplitRnaseq_253","PSVZbyQSVZ__","User",1.65835183675448e-07
"c1_HuAgeGBsplitRnaseq_156","PSVZbyQSVZ__","User",1.85785938264088e-07
"c1_HuAgeGBsplitRnaseq_84","TAPbyQNP__","User",2.48135600837866e-07
"c1_HuAgeGBsplitRnaseq_757","QGBCbyPGBC__","User",2.77674134869339e-07
"c1_HuAgeGBsplitRnaseq_223","TAPbyQNP__","User",2.85321915347678e-07
"c1_HuAgeGBsplitRnaseq_36","NPCbyNSC__","User",3.01915258464026e-07
"c1_HuAgeGBsplitRnaseq_47","TAPbyQNP__","User",3.22885817510006e-07
"c1_HuAgeGBsplitRnaseq_35","QGBCbyPGBC__","User",3.25489602066447e-07
"c1_HuAgeGBsplitRnaseq_293","TAPbyQNP__","User",3.2872815956517e-07
"c1_HuAgeGBsplitRnaseq_39","PGBCbyQGBC__","User",3.74145652864377e-07
"c1_HuAgeGBsplitRnaseq_295","TAPbyQNP__","User",4.1094491738852e-07
"c1_HuAgeGBsplitRnaseq_62","PSVZbyQSVZ__","User",4.37517047020536e-07
