"","meanx","meany","tvalue","FC","logFC","pvalue","Contrast","adj.P.Val"
"Kif3a",18.7590408082897,25.9784458193061,0.441464453189207,1.38484936862156,0.469729061501153,0.685532493693116,"NPCbyNSC",0.848090172731496
"Nanos3",1.02912387043785,1.42515511018355,0.491784438744144,1.3848236846136,0.469702304414524,0.640856433922432,"NPCbyNSC",0.821870291299621
"Pura",42.5554491029406,58.9246408885084,1.03919598069761,1.38465559947379,0.469527184420412,0.371018426658859,"NPCbyNSC",0.619133103453981
"Tmem241",1.15907367708706,1.60472283419542,2.22910040146199,1.38448734184728,0.469351863428472,0.0845729685975946,"NPCbyNSC",0.279811138209431
"Immp1l",11.888886202998,16.4588820415201,3.1209076317678,1.38439226017403,0.469252780854827,0.0234683763490013,"NPCbyNSC",0.142474899236256
"AC022775.2",2.29677349265564,3.1795082028964,0.86023191251097,1.38433685910407,0.469195045449559,0.42867533951863,"NPCbyNSC",0.669178657449301
"Laptm4a",143.510882572984,198.665460855887,1.24848258538059,1.38432331607224,0.469180931427877,0.296409941980697,"NPCbyNSC",0.550878796846587
"mt-Tp",614.807736212853,851.081453306837,3.44084077051741,1.38430504884243,0.46916189381186,0.0143252883179163,"NPCbyNSC",0.112024718230521
"Pde6g",0.893613903063726,1.23690409076862,0.872171909612685,1.38415940769043,0.469010101530448,0.419468073822778,"NPCbyNSC",0.661766266866626
"Gm9369",0.562320157863252,0.778247360003161,0.128051460862286,1.38399335168849,0.468837012693504,0.902424347322395,"NPCbyNSC",0.959524337003249
"Hba-a1",239.652927279678,331.643668715148,1.07898569891078,1.3838498552038,0.4686874220906,0.332396536671113,"NPCbyNSC",0.584553647182491
"Nme1",0.79343793467594,1.09779349756765,0.644064358508829,1.38359088920549,0.468417418865876,0.545671464587216,"NPCbyNSC",0.757314918889121
"Zc3hav1l",5.3933452187658,7.46153112024136,0.728959442898921,1.38346996485214,0.468291323362948,0.503087745933302,"NPCbyNSC",0.727539871827044
"Rps14",1479.7491916555,2046.05822751593,1.5655150545172,1.38270609577212,0.467494533760633,0.187724676920526,"NPCbyNSC",0.431798840094184
"Wsb2",3.08905601587895,4.2706011889248,0.207869711538792,1.38249392920434,0.467273145323624,0.846593266430573,"NPCbyNSC",0.933883255404344
"Rabgap1",1.12817003173885,1.55966343244986,1.13416019233569,1.38247195774732,0.467250216930731,0.308131405829041,"NPCbyNSC",0.562883493874683
"Gm5121",2.95363890576414,4.08327035373963,0.630473171949414,1.38245414690705,0.467231630096972,0.553343564162113,"NPCbyNSC",0.762402403524614
"Cdk2ap1",22.2855574144716,30.8048336631146,1.69007499178975,1.38227790717547,0.46704769893683,0.183510546899613,"NPCbyNSC",0.427120821180588
