"","logFC","logCPM","LR","PValue","adj.P.Val","Contrast","FC"
"Gm45930",-0.210956388894037,1.28591529065774,0.0307087410176958,0.860891764877105,0.952930659261026,"NSCbyNPC",0.863964303709162
"B4galt2",0.102173717934921,2.2682680965314,0.0306565195010109,0.861008890157918,0.952930659261026,"NSCbyNPC",1.07338952769591
"Shc3",0.165297662782626,1.54110854537552,0.0306504416153373,0.861022528650676,0.952930659261026,"NSCbyNPC",1.12139742549675
"Dnajb5",-0.103285463979919,3.24116955680809,0.0306393702284176,0.861047375910037,0.952930659261026,"NSCbyNPC",0.930910603671573
"Dhrs4",0.0584103931760279,4.56217990892397,0.0306033718990255,0.861128198128885,0.952930659261026,"NSCbyNPC",1.0413177718018
"Prkci",-0.108759695415904,2.15253185016541,0.0305641613684655,0.861216288033811,0.952930659261026,"NSCbyNPC",0.927385004794656
"Spsb2",-0.0588054228588239,4.27763929105015,0.0305618308714388,0.861221525533204,0.952930659261026,"NSCbyNPC",0.960058736002224
"B230220B15Rik",-0.173726229432234,1.48057367369226,0.0305355979742674,0.861280494876938,0.952930659261026,"NSCbyNPC",0.886549917869015
"Wdr91",-0.0747644646839445,3.25605381080631,0.0305043146150212,0.861350851370091,0.952930659261026,"NSCbyNPC",0.949497123805587
"Mrpl21",-0.0495125043566518,5.9196272143897,0.0304884632282871,0.861386515441102,0.952930659261026,"NSCbyNPC",0.966262779980687
"Zrsr2",0.0745342539811273,3.03656354805502,0.0304560124090683,0.861459556424143,0.952930659261026,"NSCbyNPC",1.05302103372746
"Oas1b",0.172278138045431,1.4883594637778,0.0304263005289247,0.861526467717813,0.952930659261026,"NSCbyNPC",1.12683645103512
"Pla2g2f",0.136275129856682,1.78791051296369,0.0304207676074069,0.861538931600685,0.952930659261026,"NSCbyNPC",1.09906379508593
"Stim1",-0.126210144887346,1.90188649163762,0.0304130849729061,0.861556240028638,0.952930659261026,"NSCbyNPC",0.916235174915069
"Gm7516",-0.206900310877772,1.29913195182931,0.0303909391921842,0.861606145503447,0.952930659261026,"NSCbyNPC",0.866396721681553
"Gm47076",0.139700338881882,2.25721375370382,0.0303435362042208,0.861713031057,0.952973325111075,"NSCbyNPC",1.10167626374952
"AC154586.1",-0.168666292624279,1.58098382059712,0.0303114878961797,0.861785343204634,0.952977752302461,"NSCbyNPC",0.889664756605722
"Otulin",0.177588249731585,1.44982002924442,0.0302068278810178,0.862021767396622,0.953007501799679,"NSCbyNPC",1.13099162776734
"Tubgcp5",0.0817206685472218,3.43870598574449,0.0301827490634121,0.862076220485564,0.953007501799679,"NSCbyNPC",1.05827947328468
"Rasa1",-0.106398070525447,2.17892856813464,0.0301343784412247,0.862185675987948,0.953007501799679,"NSCbyNPC",0.928904334245371
"Chtop",0.0521014213468099,5.04517223534493,0.0301342649624095,0.862185932879938,0.953007501799679,"NSCbyNPC",1.03677398358659
"Cd44",0.0667795706791654,3.84808174363665,0.0300761883524752,0.862317471462441,0.953007501799679,"NSCbyNPC",1.04737608632111
"Arg1",-0.211227355462415,1.27477660009974,0.0300546369253443,0.862366316888426,0.953007501799679,"NSCbyNPC",0.86380204941944
"Usf3",-0.109335630626742,2.12847363187023,0.0300532672982958,0.862369421701527,0.953007501799679,"NSCbyNPC",0.927014859291884
"Nelfb",0.055610130182769,4.74364134772407,0.0299945311758574,0.862502639495441,0.953007501799679,"NSCbyNPC",1.03929854013219
"Ddx20",0.0851299332075815,2.79574222570101,0.0299736074381869,0.862550128503101,0.953007501799679,"NSCbyNPC",1.06078327421676
"Vsig10l",0.126101873519008,1.91248862875373,0.0299591503005017,0.862582950737046,0.953007501799679,"NSCbyNPC",1.09134093756553
"Gm5781",-0.0506762207528263,6.84721703250961,0.0299072915776222,0.862700753447406,0.953007501799679,"NSCbyNPC",0.965483680848813
"Lamp1",0.0814520454946819,3.48576710920432,0.0299061776950218,0.862703284905966,0.953007501799679,"NSCbyNPC",1.05808244495194
"Wbp1l",0.0938904510815813,2.46564035954687,0.0298496146537328,0.862831896451872,0.953007501799679,"NSCbyNPC",1.06724429534282
"Acd",-0.054000302490536,6.97835763768133,0.0298432703624663,0.862846329757906,0.953007501799679,"NSCbyNPC",0.963261692052603
"Gm9294",0.139131662168784,1.74444305226517,0.0298352987013979,0.862864467581394,0.953007501799679,"NSCbyNPC",1.10124209425447
"Rnf43",-0.130942998897108,1.83082436829083,0.0297889712401898,0.862969925316075,0.953007501799679,"NSCbyNPC",0.913234331328046
"Anapc4",0.0668144157775144,3.98934922144485,0.0297364462509355,0.863089593021546,0.953007501799679,"NSCbyNPC",1.04740138367255
"Gm48368",-0.0791303769574815,3.63091004744777,0.0296935314568003,0.863187446623057,0.953007501799679,"NSCbyNPC",0.946628080193477
"Gm10076",0.047889486527489,8.2051588146417,0.0296646851365487,0.863253262449476,0.953007501799679,"NSCbyNPC",1.0337515456737
"Ngly1",0.103086173366758,2.22154935563634,0.0296583676959707,0.863267680733127,0.953007501799679,"NSCbyNPC",1.0740686247105
"Gm26881",-0.0862699450852366,2.63069858356904,0.0296342315104132,0.863322781272766,0.953007501799679,"NSCbyNPC",0.941955006635672
"Klf3",0.0690838200747863,3.79945341060137,0.029625817965619,0.863341993998938,0.953007501799679,"NSCbyNPC",1.04905027525667
