"","PSVZbyQSVZ","AveExpr","F","P.Value","adj.P.Val"
"Cyp2j9",-4.54564228900998,10.1055997969606,288.697320925087,3.76451815509877e-05,0.00763380356074039
"Slc27a1",-2.75883330876324,10.953719786806,284.875057140665,3.87408500128601e-05,0.00778256608435915
"Arl4c",3.76567175690399,9.82489681019357,279.029396202807,4.05086378174961e-05,0.0080623441656211
"Cdca5",6.33849030752799,6.10717221750301,270.719165710408,4.32312100107814e-05,0.00852527393744722
"Nkiras1",-4.14541049157487,7.80768344421899,268.042042038113,4.41652286787212e-05,0.00863028718590102
"Defa3",6.44050216263702,5.80521358203967,266.447993981405,4.4735416906292e-05,0.00866295303063736
"Gpr146",-4.54862516083503,5.98048610100125,256.05408137359,4.87307990360076e-05,0.00929674367072571
"Npm1",3.30342718684495,10.7107289531499,255.706397214485,4.88733209952084e-05,0.00929674367072571
"Acsbg1",-4.35346557554967,9.38286721913453,251.437681800596,5.06738382759407e-05,0.00955468555913461
"Eef1g",1.72305966011283,11.8160392956583,247.514842000847,5.24150808545167e-05,0.00979706228667684
"Haus1",5.70125348583195,5.57393507673008,245.493465177599,5.33465645270691e-05,0.0098103477304234
"Trp53",4.99673073919672,5.22167370341247,245.381290537472,5.33989618264498e-05,0.0098103477304234
"Cdk1",6.1464621753221,6.0175277590493,243.443423392089,5.43161271154663e-05,0.00981405410578499
"Cd302",-4.98974370245285,5.69793143060709,243.409714680126,5.43322837212567e-05,0.00981405410578499
"Sgol2",5.32216819404056,5.63453504882531,234.088277277717,5.90839095369253e-05,0.010463402455594
"Gpm6a",-1.9847055605163,12.4892661524168,233.893231265909,5.91897177876309e-05,0.010463402455594
"Tspan15",-4.86050423443905,6.02918736432544,233.529934572129,5.93875366170026e-05,0.010463402455594
"Kif22",5.88520501142855,6.29556706873213,231.667571313227,6.04169145510063e-05,0.0104783090866372
"Rnaseh2c",1.73602004344303,3.73957996975991,231.333567487673,6.06042767413499e-05,0.0104783090866372
"Gm5620",1.4632309258788,13.3050046292537,230.748414042447,6.09345724973084e-05,0.0104783090866372
"Zfp948",3.50900233617294,4.91021871998692,228.619567755455,6.21586371898776e-05,0.0106039675110827
"Psmc3ip",6.23747577461511,6.65004115330332,223.883058226589,6.50140455500695e-05,0.0110037551897539
