"","PGBC","QGBC"
"EXOC8",6.32018095795521,5.86712329800563
"EXOSC10",4.67193046447038,4.11925743165291
"EXOSC2",5.12874099699141,4.32990758383653
"EXOSC3P2",2.07083651485482,1.08015837290005
"EXOSC4",6.08999878216495,5.67846964822749
"EXOSC6",6.30167351074666,5.49732600180606
"EXOSC8",5.40128808467232,4.64133138740227
"EXOSC9",5.15724931985811,4.33045306451164
"EXT1",1.24793221367264,0.713394055846856
"EXT2",3.21557063727716,2.50380754595363
"EXTL2",5.78094853877779,5.30718113966285
"EZH2",3.98029792697388,3.20626914654916
"F8A3",1.87693601658173,0.03040765997769
"FAAP100",4.8980996608252,4.43351079476845
"FAAP24",3.2175861577296,2.26092634241396
"FADD",4.01771406197539,2.93699096531429
"FADS2",5.70910087172882,4.35725684516248
"FAF2",4.55445696260457,3.69735804850192
"FAHD1",4.01572164882194,3.33896638442266
"FAIM",1.58345838141882,0.179260179337223
"FAM104A",3.64564978290831,3.18388480698997
"FAM104B",2.9085770812551,2.13179163741606
"FAM110A",1.87061159837126,1.00123054429789
"FAM111A",6.13713385756411,5.31669220411589
"FAM111A-DT",2.96975459281788,2.6395320266654
"FAM111B",3.91434839738469,1.98395535015576
"FAM114A1",2.55898764760235,2.03757538436168
"FAM114A2",3.51684334109782,2.99604284855001
"FAM118B",2.38939831314539,1.83994259580365
"FAM120A",4.55452165628307,4.22306958507224
"FAM120AOS",5.82635385854462,5.15920938858695
"FAM120C",2.39133447138349,1.93985481513681
"FAM122B",4.93528905290878,4.0025184446501
"FAM126A",3.85120005571504,3.01254011037925
"FAM129A",3.50593148623456,2.39714238566988
"FAM129B",5.5038071821575,4.8201574063793
"FAM136A",6.45040625436922,5.56066264114447
"FAM136BP",1.38451785825734,0.110195453398639
"FAM161A",2.93471436842838,2.25179732331319
"FAM168B",5.67132867069082,5.12159708500801
"FAM173B",3.6149429170051,2.92318229556653
"FAM181A",0.769011591423468,0
"FAM192A",5.05235803398496,4.59037018995183
"FAM192BP",0.630060151520975,0.061918929714989
"FAM198B",2.35041645697769,1.65015302266886
"FAM199X",5.22104559815801,4.7914808268263
"FAM200B",3.07376379447649,2.48066913599534
"FAM201B",1.6517322793678,0.833701751929601
"FAM204A",3.36489216453582,2.88090600463371
"FAM208A",4.44342244754059,4.04402486355484
"FAM20B",4.7476709235083,3.92582796175561
"FAM210A",2.36581701637501,1.69924379087371
"FAM212A",2.30197429421567,1.46714269579142
"FAM213B",5.32573385078278,4.94310971705568
"FAM217B",3.92693376998419,3.42127865502874
"FAM241B",2.53193658172728,1.9343776271928
"FAM32A",6.84238497157588,6.50069745470725
"FAM35A",1.33192634126318,0.900386800565798
"FAM46A",1.74437329464844,1.37610490657408
"FAM49B",1.99258562882283,1.20568302610689
"FAM50A",7.26344015377821,6.58186927239174
"FAM57A",4.86627818334295,3.68273335243236
"FAM69A",1.32614890067737,0.638741586130492
"FAM71F2",1.76872857544944,1.40022809491367
"FAM72A",1.56255061563636,0.732229696292656
"FAM72B",1.66231940795045,0.773496553584026
"FAM72C",0.666198733949966,0.257218790580022
"FAM72D",0.779179565118161,0.241338556442222
"FAM83C-AS1",0.989930274304066,0.391715155266366
"FAM83D",3.78130763605077,1.8190073459972
"FAM83H",1.03648205871535,0.431988536115518
"FAM86DP",2.99886719414792,2.39429316384866
"FAM87A",0.511628068302587,0.14825458325637
"FAM91A1",4.63736156299475,3.87904346398861
"FAM91A3P",1.21460192339868,0.793742177746347
"FAM96A",4.42106654718108,3.92569150467641
"FAM96B",7.66475902218582,7.33704176796151
"FAM98A",5.41888649953309,4.82525966400517
"FAM98B",4.30909712796201,3.31646868960096
"FANCA",2.5378662472564,1.49398589191334
"FANCB",2.43378633694414,0.93224065606111
"FANCC",1.35295468458932,0.932657559438937
"FANCD2",1.84485898124832,0.99363099936626
"FANCG",5.89440867350813,5.31941205421173
"FANCI",3.38137614752818,2.10924912970649
"FANCL",2.9552245463359,2.06640489188991
"FANCM",1.88007225419123,1.41366554002624
"FAP",1.25541794469575,0.0934867100943313
"FAR1",4.91045441097801,4.54074883867389
"FARSA",5.67170111107623,5.3437986519639
"FARSB",3.29524131029462,2.54260360949295
"FASN",7.63403847555542,7.11858874896858
"FASTKD1",3.53132862597872,3.15877666685485
"FASTKD2",4.11394032446904,3.32313717415292
"FAT1",2.66394836063436,0.183842571925457
"FAT2",1.62808847604199,1.26255711602433
"FBLN1",2.25224183819301,0.0608257136190893
"FBLN2",0.60801652909038,0.137560493081525
"FBLN7",1.26711721839546,0.289605370107098
"FBN1",1.90808105588788,0.686474324860868
"FBN2",0.778724505774323,0.383261365203271
"FBXL19",3.41998932636906,2.90387595916519
"FBXL19-AS1",3.77129157150422,2.53514256846165
"FBXL4",2.52714316989318,2.14837724656592
"FBXO11",2.77732126927187,2.42971169780003
"FBXO25",2.21292637736802,1.5887778301317
"FBXO28",4.30101033650172,3.50920144024674
"FBXO30",3.20809121517559,2.47793109858876
"FBXO4",3.74281229295377,3.35943447873207
"FBXO45",4.61142885719355,4.20285971505789
"FBXO46",3.30663652517094,2.67510339131671
"FBXO48",2.57025884167224,2.24650151166613
"FBXO5",5.18518839156108,3.47165977248916
"FBXO7",5.1637168709877,4.74939600616199
"FBXO9",4.20352637571807,3.82284150535939
"FCF1",4.44122426178333,4.08262432973514
"FCGRT",2.63053181689208,1.53418753123654
"FCRLA",2.74898659188331,1.8727839964734
"FDCSP",0.572106732514449,0
"FDFT1",5.95354318124995,4.57717877783007
"FDPS",6.3397149833971,5.2819644925181
"FDX1",2.51285626378797,1.93683954697469
"FECH",3.26116101382758,2.34895257255939
"FEN1",1.35891211707393,0.525598588018389
"FER",1.45390942960688,1.10914816596597
"FERMT2",3.56568597061156,3.19996205527993
"FGD5-AS1",5.98781511289467,5.10627207609694
"FGFBP3",5.17739362892779,4.43458329243092
"FH",5.51225875028814,4.38400531002497
"FHL2",1.5661506582106,0.477845847712675
"FIBIN",2.47184828097941,0.079782833846128
"FIBP",6.79788756330099,6.33671979704363
"FICD",4.27847218078006,3.82639917406794
"FIG4",1.85553724732107,1.47192122837406
"FIGN",1.85418926400401,1.19719990097778
"FIGNL1",2.0980695117868,0.907027876262771
"FITM2",4.51563363220393,4.03012944890512
"FIZ1",3.55831380688401,3.09013230139674
"FJX1",8.137329998591,7.13726267686554
"FKBP10",8.52320241755019,8.14907129548506
"FKBP15",3.61288914841567,3.2893032407849
"FKBP1B",0.827349574481621,0.459188438968841
"FKBP2",6.70260180779421,6.07458468263745
"FKBP3",5.33304340145047,4.93224823568165
"FKBP5",2.85562854762549,2.19356354446325
"FKBP7",2.66539293617403,1.90839583335635
"FKBP9",5.41943696517814,4.9541788580886
"FKBP9P1",1.62405868377864,1.22722427672397
"FKBPL",5.27802806954864,4.47567572064512
"FKRP",3.28885675185678,2.17671647736622
"FLG-AS1",0.396279018168775,0.0221506336829226
"FLNA",9.01474559293352,7.67438931018029
"FLNB",3.40773843453132,2.89967927266858
"FLNC",1.87792413175104,0.492802609171549
"FLVCR1-AS1",2.94388187388983,2.26656389013691
"FMNL3",2.76991765276034,1.89528458954245
"FMR1",4.35110567480477,3.35360987507588
"FN1",6.2895235100226,4.34877904077294
"FN3KRP",5.07997050527655,4.27432998986721
"FNBP1P1",3.58565734293399,3.03745293731811
"FNDC3B",3.11488920368976,2.65095607049241
"FNTA",3.48767638855297,2.80001779088098
"FO393409.1",2.07006095807226,1.40357731041246
"FO393411.1",1.87582816865305,1.32778420554259
"FOCAD",0.493046987919312,0.00705848668087634
"FOPNL",4.57308266823449,3.87342987812129
"FOSL1",4.8371773453529,4.45771609967697
"FOXA1",0.832361134966519,0
"FOXB2",0.439348210926892,0
"FOXC2",1.33769950059796,0.160803368693001
"FOXC2-AS1",0.498512699624585,0.0807892148854183
"FOXD1",2.27683446989689,0.160948645371382
"FOXG1",4.61907339609965,3.58995606017409
"FOXI1",0.931375688231182,0
"FOXJ1",1.7136777464413,1.05939943756283
"FOXL1",1.4629840100854,0.0333631986901379
"FOXM1",4.39482835319997,2.7192658634595
"FOXP4",2.05965954939447,1.72154505867177
"FOXRED1",4.86585962383844,4.46068892093414
"FOXRED2",4.72181821795837,4.34309655515424
"FPGS",5.02408759340793,4.67721737005104
"FPR1",0.568765659363392,0.0110390450234353
"FRAT1",2.86443359121525,2.11842659976395
"FRAT2",4.82299454308412,4.40738466650536
"FRG1",3.1014038469771,2.62598915148283
"FRG1CP",1.77593548856573,1.22059589329044
"FRMD8",5.32761041720969,4.86990557708792
"FRRS1",1.81659310892009,1.36351612642176
"FSD1",3.6359540127406,3.12717111314124
"FTH1",7.53345249725839,7.06600094716983
"FTH1P12",1.70972429794297,0.718167067418686
"FTH1P2",2.00197940401477,1.18522108463759
"FTH1P5",0.920158787509759,0.556751532202094
"FTH1P7",3.8390286764656,2.64308836117992
"FTH1P8",3.66669465476747,2.93501702081022
"FTSJ1",5.33793474854694,4.3695161695796
"FTSJ3",6.32233333530235,5.82797187397874
"FTX",1.42678438943342,0.946243407431191
"FUBP1",5.7585457885675,5.24117129018904
"FUCA1",2.71873670726404,1.99619407452125
"FUCA2",2.86285467127226,1.57246439935749
"FUNDC1",3.66270568289091,3.01546071892757
"FUNDC2",3.2644516118575,2.48987442961226
"FURIN",5.71457187252806,5.2747123763514
"FUS",8.2372685136007,7.62005764987748
"FXYD3",0.498883686619469,0.147962393926042
"FYTTD1",4.94353843798525,4.46316534305764
"FZD1",6.462121121842,5.68916411671167
"FZD2",5.50002537190377,4.93130442967938
"FZD3",2.67882965676575,2.26999562501813
"FZD5",5.08558036912684,4.45746320335847
"FZD6",2.78832099640218,0.241272940061445
"FZD7",7.45084237940667,6.85260304643838
"G2E3",3.10387150666982,2.65716804661487
"G3BP1",6.4325900762862,6.0083687248615
"G3BP2",4.68857801099448,4.26841048401974
"G6PC3",7.18339637104314,6.84293800690602
"G6PD",6.57873388960956,6.18830308643496
"GABPA",3.94453894484284,3.26983453776629
"GABPB1",2.1128998373515,1.45471986081815
"GABRE",2.47546684470614,1.58604088244667
"GADD45G",1.44035779060422,0.232150206697303
"GADD45GIP1",6.74939905886229,6.09671646678502
"GALE",5.10281200367824,3.54799263561037
"GALNT1",3.46666348334583,2.32061548424367
"GALNT12",1.15505726768147,0.747531270605866
"GALNT2",3.05751932060817,2.02893449851272
"GALNT5",1.91292750540808,0.195198573511998
"GANAB",8.44853099402041,7.73984588415605
