"","Glioblastoma_cancer_stem_cell"
"AC090229.1",1.42281576034986
"AC090337.1",1.47178293716927
"AC090506.2",2.60745526661521
"AC090589.1",1.73385240742857
"AC090772.4",3.66959364450597
"AC090825.1",0.276353007326727
"AC090985.1",0.294690876030989
"AC091042.1",3.38159258525857
"AC091182.2",0.824187218650284
"AC091305.1",0.830829198819448
"AC091799.1",0.590614566963379
"AC092115.1",0.67631745891005
"AC092171.3",1.26247227529429
"AC092171.5",1.76516968218393
"AC092354.1",1.2529646786125
"AC092354.2",2.92210027531398
"AC092368.3",2.18348983393267
"AC092645.1",1.64748224823041
"AC092647.2",0.626332924236034
"AC092685.1",0.563446731422412
"AC092896.1",2.69847507233291
"AC092919.1",0.806264526073953
"AC092919.2",3.54281176897622
"AC093227.1",1.86802688798338
"AC093281.2",0.641031999344048
"AC093510.1",1.07319403102367
"AC093535.2",2.07548711303077
"AC093635.1",1.72054161681507
"AC093787.1",0.569660565165322
"AC093789.1",1.01964307346533
"AC093827.1",0.750140946451328
"AC093909.1",1.01009338576902
"AC093909.6",1.45022710700704
"AC095052.1",0.385379180443943
"AC096536.1",1.73465484957754
"AC096642.1",1.98703672371312
"AC096677.1",1.33709047554486
"AC096915.1",0.758774610178425
"AC096921.2",1.54732206957025
"AC097461.1",2.78443451709693
"AC097523.1",0.734784857688746
"AC097639.1",0.29161907726086
"AC098590.1",0.751759529478356
"AC098614.1",3.34371672354912
"AC098614.4",2.72795990229813
"AC098934.1",2.18623758945743
"AC099343.1",0.64674061701754
"AC099343.3",3.90415112019615
"AC099518.4",1.25938876607031
"AC099560.2",0.552165973299974
"AC099778.1",2.60619537492366
"AC099850.2",2.20446107716888
"AC100814.1",2.85228336401906
"AC100821.2",0.714405482910628
"AC103706.1",2.45735045809417
"AC103746.1",1.07199627856648
"AC103808.3",0.579047919246525
"AC103923.1",0.902238560305183
"AC104073.1",1.05752177463359
"AC104073.2",0.803165204522118
"AC104117.5",0.527751825302373
"AC104118.1",2.97922521393698
"AC104365.2",0.363613148548737
"AC104447.1",3.14497121456195
"AC104561.1",0.563644826929494
"AC104561.3",0.943898738838865
"AC104837.1",2.88902619418432
"AC104843.1",1.03243409815897
"AC104938.1",1.13805813756246
"AC104971.1",0.514344682544169
"AC105398.1",0.235617998259363
"AC106818.1",0.334846583930526
"AC107016.1",0.554408575762073
"AC107021.2",2.03544727486038
"AC107027.3",2.88059302233013
"AC107081.1",0.851293241483274
"AC107214.2",1.85539653737668
"AC107373.1",0.210963098884358
"AC107918.3",1.07522715309509
"AC108082.1",0.208013380004895
"AC108479.1",0.284713744306511
"AC108488.2",4.60255400187285
"AC108693.2",0.950864374738102
"AC108865.1",0.886866478799673
"AC108865.2",0.482069621218722
"AC109583.2",2.10670137659072
"AC109925.1",0.279189021014899
"AC110774.1",0.280131472770917
"AC112220.2",3.37736992925949
"AC112220.3",1.83492455241104
"AC112220.4",2.95596987781473
"AC112255.1",0.564652014825784
"AC112484.3",2.38767375497104
"AC113191.1",5.45341249181347
"AC113383.1",0.474362315114718
"AC114491.1",0.830157004495585
"AC114781.2",0.520573635093777
"AC114810.1",1.49641442654867
"AC114811.2",2.28442966439734
"AC114947.2",1.99195417421503
"AC115618.2",5.22762814764955
"AC116021.1",0.31579982143674
"AC116347.1",0.486974648555126
