"","InputCategories","UserDefinedCategories","Type","CorrectedPvalues","StudySRP027383","StudySRP091303","GenderM","DiseaseCON","DiseaseGrade_2","DiseaseGrade_3","DiseaseGrade_4","Age","Tissueprefrontal_cortex","Overall_Survival","Censor_1dead_0alive","p.value.StudySRP027383","p.value.StudySRP091303","p.value.GenderM","p.value.DiseaseCON","p.value.DiseaseGrade_2","p.value.DiseaseGrade_3","p.value.DiseaseGrade_4","p.value.Age","p.value.Tissueprefrontal_cortex","p.value.Overall_Survival","p.value.Censor_1dead_0alive"
"21","pink","neuronBYoFC5__","User",3.97958924132127e-10,0.0736786689506325,0.0385518622396281,0.0202901498844613,-0.124735565037943,0.19324345116602,0.207931760952798,0.112185458414493,-0.0908235659085158,-0.128677419200159,0.0675444875412259,0.0732895105084479,0.145886982218511,0.447161523411739,0.689179803909115,0.0135780723032361,0.000120447913267582,3.41599935792835e-05,0.0265392723177595,0.0728324864013924,0.0108690408296717,0.182580310670449,0.148033561218996
"22","pink","MicroByMono_Zhang_Cuffdiff2FCover20__","User",0.000782174271962054,0.0736786689506325,0.0385518622396281,0.0202901498844613,-0.124735565037943,0.19324345116602,0.207931760952798,0.112185458414493,-0.0908235659085158,-0.128677419200159,0.0675444875412259,0.0732895105084479,0.145886982218511,0.447161523411739,0.689179803909115,0.0135780723032361,0.000120447913267582,3.41599935792835e-05,0.0265392723177595,0.0728324864013924,0.0108690408296717,0.182580310670449,0.148033561218996
"23","pink","npcBYnsc_Walker_FC5___","User",1.1507489538027e-07,0.0736786689506325,0.0385518622396281,0.0202901498844613,-0.124735565037943,0.19324345116602,0.207931760952798,0.112185458414493,-0.0908235659085158,-0.128677419200159,0.0675444875412259,0.0732895105084479,0.145886982218511,0.447161523411739,0.689179803909115,0.0135780723032361,0.000120447913267582,3.41599935792835e-05,0.0265392723177595,0.0728324864013924,0.0108690408296717,0.182580310670449,0.148033561218996
"24","pink","NeuronByothers_Zhang_Cuffdiff2FCover20__","User",1.0503175012948e-06,0.0736786689506325,0.0385518622396281,0.0202901498844613,-0.124735565037943,0.19324345116602,0.207931760952798,0.112185458414493,-0.0908235659085158,-0.128677419200159,0.0675444875412259,0.0732895105084479,0.145886982218511,0.447161523411739,0.689179803909115,0.0135780723032361,0.000120447913267582,3.41599935792835e-05,0.0265392723177595,0.0728324864013924,0.0108690408296717,0.182580310670449,0.148033561218996
"25","pink","microgliaBYoFC5__","User",7.01257031819499e-06,0.0736786689506325,0.0385518622396281,0.0202901498844613,-0.124735565037943,0.19324345116602,0.207931760952798,0.112185458414493,-0.0908235659085158,-0.128677419200159,0.0675444875412259,0.0732895105084479,0.145886982218511,0.447161523411739,0.689179803909115,0.0135780723032361,0.000120447913267582,3.41599935792835e-05,0.0265392723177595,0.0728324864013924,0.0108690408296717,0.182580310670449,0.148033561218996
"26","pink","nscBYnpc_Walker_FC5___","User",0.000810709595823764,0.0736786689506325,0.0385518622396281,0.0202901498844613,-0.124735565037943,0.19324345116602,0.207931760952798,0.112185458414493,-0.0908235659085158,-0.128677419200159,0.0675444875412259,0.0732895105084479,0.145886982218511,0.447161523411739,0.689179803909115,0.0135780723032361,0.000120447913267582,3.41599935792835e-05,0.0265392723177595,0.0728324864013924,0.0108690408296717,0.182580310670449,0.148033561218996
"27","pink","MicrogliByothers_Zhang_Cuffdiff2FCover20__","User",0.000298789778409592,0.0736786689506325,0.0385518622396281,0.0202901498844613,-0.124735565037943,0.19324345116602,0.207931760952798,0.112185458414493,-0.0908235659085158,-0.128677419200159,0.0675444875412259,0.0732895105084479,0.145886982218511,0.447161523411739,0.689179803909115,0.0135780723032361,0.000120447913267582,3.41599935792835e-05,0.0265392723177595,0.0728324864013924,0.0108690408296717,0.182580310670449,0.148033561218996
"28","purple","QGBObyPGBO_GSE114574_Tejero_FC5___","User",1.0185994888364e-07,0.0538858767543579,-0.0596107328871039,-0.0508447285340031,-0.0122799804571786,0.0142365344458059,0.0735590467819007,-0.0101525301732573,-0.0506601736062822,-0.0132273195385393,-0.146667598505461,0.0102735542864754,0.287834016862746,0.239595637695702,0.315948069744002,0.808739409190029,0.779000205782343,0.146544270640967,0.841390090602587,0.317710132227102,0.794302797311781,0.00365365343416407,0.839524820927244
"29","purple","PSVZbyQSVZ_Morizur_FC5___","User",3.25468181575847e-21,0.0538858767543579,-0.0596107328871039,-0.0508447285340031,-0.0122799804571786,0.0142365344458059,0.0735590467819007,-0.0101525301732573,-0.0506601736062822,-0.0132273195385393,-0.146667598505461,0.0102735542864754,0.287834016862746,0.239595637695702,0.315948069744002,0.808739409190029,0.779000205782343,0.146544270640967,0.841390090602587,0.317710132227102,0.794302797311781,0.00365365343416407,0.839524820927244
"30","red","astroBYoFC5__","User",0.006969138465462,-0.0120241212592369,0.0273832599154078,0.0202424083553214,-0.00992077238905072,-0.0653480269643547,0.0848478113870438,0.0357030644426214,0.01715692578365,-0.00526524369980692,-0.0222801241789484,0.192954713253732,0.812649849382759,0.589309749218839,0.68987324495075,0.844964497448848,0.197253819909083,0.0938542746995795,0.481466057145881,0.735216271688674,0.91734327226417,0.660513044948744,0.00012335704594434
