"","InputCategories","UserDefinedCategories","Type","CorrectedPvalues","StudySRP027383","StudySRP091303","GenderM","DiseaseCON","DiseaseGrade_2","DiseaseGrade_3","DiseaseGrade_4","Age","Tissueprefrontal_cortex","p.value.StudySRP027383","p.value.StudySRP091303","p.value.GenderM","p.value.DiseaseCON","p.value.DiseaseGrade_2","p.value.DiseaseGrade_3","p.value.DiseaseGrade_4","p.value.Age","p.value.Tissueprefrontal_cortex"
"26","grey60","TAPbyQNP__","User",6.70288510587289e-13,0.0502736921785377,-0.00363315979221626,-0.0349467993304134,-0.0581937990138219,0.191376364681325,-0.00145661478776041,0.0247044900882594,-0.0251178718874523,-0.0525882267090472,0.321420860435529,0.942911238360501,0.490806724091556,0.250969874896478,0.000140460850059896,0.977095488328412,0.626251243022646,0.620485967690957,0.299617749814859
"27","grey60","NSCbyNPC__","User",0.000128325984566084,0.0502736921785377,-0.00363315979221626,-0.0349467993304134,-0.0581937990138219,0.191376364681325,-0.00145661478776041,0.0247044900882594,-0.0251178718874523,-0.0525882267090472,0.321420860435529,0.942911238360501,0.490806724091556,0.250969874896478,0.000140460850059896,0.977095488328412,0.626251243022646,0.620485967690957,0.299617749814859
"28","lightgreen","QSVZbyPSVZ__","User",0.00654506371019891,-0.00128653149275786,0.0275851021260864,-0.0172346920195072,-0.0232291255938749,-0.037808501315091,-0.0921308853258459,0.135197860140543,0.068100956293955,-0.0255556950307702,0.979769351142839,0.586567263090971,0.734061292847325,0.647011771479672,0.455976942231032,0.0687879781228476,0.0074260846352257,0.178994168557686,0.614405051521507
"29","lightgreen","NPCbyNSC__","User",0.0199811012273833,-0.00128653149275786,0.0275851021260864,-0.0172346920195072,-0.0232291255938749,-0.037808501315091,-0.0921308853258459,0.135197860140543,0.068100956293955,-0.0255556950307702,0.979769351142839,0.586567263090971,0.734061292847325,0.647011771479672,0.455976942231032,0.0687879781228476,0.0074260846352257,0.178994168557686,0.614405051521507
"30","lightgreen","PSVZbyQSVZ__","User",4.88937632667294e-05,-0.00128653149275786,0.0275851021260864,-0.0172346920195072,-0.0232291255938749,-0.037808501315091,-0.0921308853258459,0.135197860140543,0.068100956293955,-0.0255556950307702,0.979769351142839,0.586567263090971,0.734061292847325,0.647011771479672,0.455976942231032,0.0687879781228476,0.0074260846352257,0.178994168557686,0.614405051521507
"31","lightgreen","PGBCbyQGBC__","User",2.05933947674774e-07,-0.00128653149275786,0.0275851021260864,-0.0172346920195072,-0.0232291255938749,-0.037808501315091,-0.0921308853258459,0.135197860140543,0.068100956293955,-0.0255556950307702,0.979769351142839,0.586567263090971,0.734061292847325,0.647011771479672,0.455976942231032,0.0687879781228476,0.0074260846352257,0.178994168557686,0.614405051521507
"32","lightgreen","QNPbyTAP__","User",5.10938710304252e-30,-0.00128653149275786,0.0275851021260864,-0.0172346920195072,-0.0232291255938749,-0.037808501315091,-0.0921308853258459,0.135197860140543,0.068100956293955,-0.0255556950307702,0.979769351142839,0.586567263090971,0.734061292847325,0.647011771479672,0.455976942231032,0.0687879781228476,0.0074260846352257,0.178994168557686,0.614405051521507
"33","lightyellow","PGBCbyQGBC__","User",3.71264908101121e-23,-0.0268192334259522,0.00497877453007414,0.0253984935024316,0.028310496817535,-0.0385086587468519,-0.0841195039931636,-0.0121830362079087,-0.0248183511429528,0.0189420352615005,0.597004391476402,0.921825649071323,0.616585412522896,0.576760106326534,0.4476712105647,0.0967184555807338,0.810220508555725,0.624660975190483,0.708859084010109
"34","lightyellow","NSCbyNPC__","User",9.02520923407381e-05,-0.0268192334259522,0.00497877453007414,0.0253984935024316,0.028310496817535,-0.0385086587468519,-0.0841195039931636,-0.0121830362079087,-0.0248183511429528,0.0189420352615005,0.597004391476402,0.921825649071323,0.616585412522896,0.576760106326534,0.4476712105647,0.0967184555807338,0.810220508555725,0.624660975190483,0.708859084010109
"35","lightyellow","PSVZbyQSVZ__","User",1.18817040292491e-13,-0.0268192334259522,0.00497877453007414,0.0253984935024316,0.028310496817535,-0.0385086587468519,-0.0841195039931636,-0.0121830362079087,-0.0248183511429528,0.0189420352615005,0.597004391476402,0.921825649071323,0.616585412522896,0.576760106326534,0.4476712105647,0.0967184555807338,0.810220508555725,0.624660975190483,0.708859084010109
"36","lightyellow","NPCbyNSC__","User",5.22861636125629e-08,-0.0268192334259522,0.00497877453007414,0.0253984935024316,0.028310496817535,-0.0385086587468519,-0.0841195039931636,-0.0121830362079087,-0.0248183511429528,0.0189420352615005,0.597004391476402,0.921825649071323,0.616585412522896,0.576760106326534,0.4476712105647,0.0967184555807338,0.810220508555725,0.624660975190483,0.708859084010109
"37","lightyellow","QSVZbyPSVZ__","User",1.82688251650935e-09,-0.0268192334259522,0.00497877453007414,0.0253984935024316,0.028310496817535,-0.0385086587468519,-0.0841195039931636,-0.0121830362079087,-0.0248183511429528,0.0189420352615005,0.597004391476402,0.921825649071323,0.616585412522896,0.576760106326534,0.4476712105647,0.0967184555807338,0.810220508555725,0.624660975190483,0.708859084010109
"38","lightyellow","TAPbyQNP__","User",6.19086177162134e-26,-0.0268192334259522,0.00497877453007414,0.0253984935024316,0.028310496817535,-0.0385086587468519,-0.0841195039931636,-0.0121830362079087,-0.0248183511429528,0.0189420352615005,0.597004391476402,0.921825649071323,0.616585412522896,0.576760106326534,0.4476712105647,0.0967184555807338,0.810220508555725,0.624660975190483,0.708859084010109
"39","midnightblue","PSVZbyQSVZ__","User",1.25316475471221e-09,0.0253842559917223,-0.042454144979416,-0.0140360095671333,0.00713811671895113,0.0130696053928709,0.0582645915104164,-0.0565157512977988,-0.0167940468126071,0.00725576265949002,0.61678305145722,0.402499173405686,0.78203415854604,0.88810930684282,0.796701501358765,0.250392838580332,0.264919015747042,0.740613575141977,0.886277583969997
"40","midnightblue","NSCbyNPC__","User",4.4181830069035e-05,0.0253842559917223,-0.042454144979416,-0.0140360095671333,0.00713811671895113,0.0130696053928709,0.0582645915104164,-0.0565157512977988,-0.0167940468126071,0.00725576265949002,0.61678305145722,0.402499173405686,0.78203415854604,0.88810930684282,0.796701501358765,0.250392838580332,0.264919015747042,0.740613575141977,0.886277583969997
"41","midnightblue","QSVZbyPSVZ__","User",3.64081627069216e-10,0.0253842559917223,-0.042454144979416,-0.0140360095671333,0.00713811671895113,0.0130696053928709,0.0582645915104164,-0.0565157512977988,-0.0167940468126071,0.00725576265949002,0.61678305145722,0.402499173405686,0.78203415854604,0.88810930684282,0.796701501358765,0.250392838580332,0.264919015747042,0.740613575141977,0.886277583969997
"42","midnightblue","PGBCbyQGBC__","User",5.7721218540623e-13,0.0253842559917223,-0.042454144979416,-0.0140360095671333,0.00713811671895113,0.0130696053928709,0.0582645915104164,-0.0565157512977988,-0.0167940468126071,0.00725576265949002,0.61678305145722,0.402499173405686,0.78203415854604,0.88810930684282,0.796701501358765,0.250392838580332,0.264919015747042,0.740613575141977,0.886277583969997
"43","midnightblue","QNPbyTAP__","User",1.22853013785361e-29,0.0253842559917223,-0.042454144979416,-0.0140360095671333,0.00713811671895113,0.0130696053928709,0.0582645915104164,-0.0565157512977988,-0.0167940468126071,0.00725576265949002,0.61678305145722,0.402499173405686,0.78203415854604,0.88810930684282,0.796701501358765,0.250392838580332,0.264919015747042,0.740613575141977,0.886277583969997
