"","NPC","NSC"
"Liph",0.13962498304774,1.02455089826057
"Litaf",3.59004570486929,4.02228759860801
"Llgl1",4.65117657293699,5.12110562555468
"Lman1",2.34244521009562,2.93540716633247
"Lman2",4.6172611795197,5.4200060011718
"Lmf2",6.05132167142604,6.80915811094489
"Lmnb1",3.12159607324134,3.92178021384423
"Lmnb2",1.65342601857483,2.69065283899907
"Lmo1",0.253889474215676,0.897203287847546
"Lmo3",0.630405342270772,1.01054519494276
"Lncpint",1.18154224281916,1.64398681921943
"Lockd",3.88077149987562,4.72084533213814
"Lonrf3",1.1937601230319,2.07254268718185
"Lpcat1",2.4648671159803,2.8115018206848
"Lpin1",2.51853790515039,3.20899754914921
"Lpl",1.05465182440865,1.78583107550292
"Lpxn",0.697196899132353,3.51583589795756
"Lrmp",0.19264799934627,1.70771742595534
"Lrp6",1.93545729971742,2.62028890784898
"Lrpprc",1.31775265372076,1.79973381631606
"Lrr1",2.05123707460451,3.39047850713033
"Lrrc25",2.66557662758435,6.12569016025789
"Lrrc27",1.3974941186072,1.78991358880485
"Lrrc40",3.9394467273952,4.39064496213453
"Lrrc41",2.67025926230482,3.36451700349242
"Lrrc46",1.48414726662171,1.947441303927
"Lrrfip1",0.604210112250825,1.031067898044
"Lrwd1",3.95835587537886,4.7209173682976
"Lsm11",0.473257743308413,1.28311369502685
"Lsm12",4.94222544982313,5.64291690197356
"Lsm14a",2.85273223682999,3.20007957103761
"Lsm2",5.10305009697599,6.36466460265379
"Lsm4",4.34969752564572,4.96485951634392
"Lsm5",7.34075895233908,7.83855135204479
"Lsm6",6.09707755284785,6.50502160499881
"Lst1",2.90721385650686,7.10255364972994
"Ltbr",3.67573979545261,4.36590446970257
"Ltc4s",3.22368873854468,7.66215740377465
"Ly6e",8.00903055497687,9.82662977464363
"Ly86",1.20407559524399,4.83932720209494
"Ly96",1.22871756327088,3.16073452101618
"Lyar",2.45303140885442,3.7438595614571
"Lyn",1.09523205834881,2.59531652541278
"Lypla2",4.98706378924342,5.59043415980412
"Lyrm9",3.0324619966218,3.46919870772665
"Lyve1",3.19048315392246,8.10307685952847
"Lyz1",0.133614911891242,1.42943995112161
"Lyz2",7.77092186732528,11.9127642015463
"Mad2l1",5.02755680324502,6.29039165376394
"Madd",1.36949417562094,1.792268389769
"Maf",3.80528525870735,7.97731427862166
"Mafb",3.52783768543081,4.97068994411678
"Mafg",5.22520220373155,5.8660148128757
"Mafk",1.23425122807561,2.24735077005125
"Mageb3",0.263320379693378,0.529866978944287
"Maml2",1.87332796024932,2.46113832697011
"Mamstr",1.65079475733479,2.42113108153612
"Man1a",0.841828666274268,1.98828130934755
"Man1a2",1.51430691991698,1.96113629573697
"Man1b1",3.4194803923876,4.16414874355682
"Man1c1",0.705736401449131,1.42867684062287
"Man2a1",0.239277333037656,1.05653036556267
"Man2a2",2.51278806592213,2.80239030101
"Man2b1",3.74139205690949,7.01610736842575
"Man2b2",2.3840127511687,2.88674488652713
"Man2c1",4.49690918027679,5.20196031249453
"Manba",0.818495394523819,1.90256458735456
"Manf",3.75008302803766,4.34655124429233
"Maoa",2.48841711677963,2.77179338073947
"Map10",1.87327527907336,2.41993310781254
"Map1s",2.90376266294761,3.36590514202775
"Map2k3",2.72323885336551,3.15146384825385
"Map2k3os",0.888035944282666,1.21875574050757
"Map3k1",3.55467508423245,4.97077788090726
"Map3k11",1.12391209583197,2.01207543825353
"Map3k7",1.71367178900994,1.91541228368774
"Map3k8",0.477435700783539,3.17018828673499
"Map4k1",0.322770838562257,0.949726770562354
"Mapk11",2.43490199202293,3.08961990266712
"Mapk14",1.87713760736748,2.88095255553779
"Mapk1ip1l",5.43034965516737,6.02946705914293
"Mapkapk2",1.59945687512064,2.28541250184641
"Mapkapk3",0.521112260104963,1.10553601247669
"Mapre1",6.12108497947083,6.8431611457164
"Marcks",10.9649693864922,11.7156342409416
"Mars",3.93596926282009,5.10993253690462
"Mars2",3.64984585235814,4.06156243166848
"Marveld1",1.03216926206816,3.43898190360073
"Mastl",1.25807779017477,3.0842335165828
