"","NPC","NSC","No_data","8","dentate_gyrus"
"AC131178.1",2.38115519984417,3.21851610307159,2.79983565145788,2.79983565145788,2.79983565145788
"AC135119.1",0.932398561677856,1.34663170846174,1.1395151350698,1.1395151350698,1.1395151350698
"AC137842.1",1.68876473075333,2.26937996905006,1.9790723499017,1.9790723499017,1.9790723499017
"AC138177.1",1.3143631003816,1.87309084143925,1.59372697091043,1.59372697091043,1.59372697091043
"AC138177.5",2.47940742046874,3.39933354971591,2.93937048509233,2.93937048509233,2.93937048509233
"AC139513.1",0.512356401347498,1.30227318883223,0.907314795089867,0.907314795089867,0.907314795089867
"AC139671.1",0.224756786766118,2.28007529634353,1.25241604155482,1.25241604155482,1.25241604155482
"AC144819.1",1.03001154662125,1.66863106099887,1.34932130381006,1.34932130381006,1.34932130381006
"AC152940.1",2.53595642895265,2.38404464157793,2.46000053526529,2.46000053526529,2.46000053526529
"AC154718.1",0.658972919697635,0.76433487960214,0.711653899649888,0.711653899649888,0.711653899649888
"AC157572.1",0.70706533228819,0.938463260081655,0.822764296184923,0.822764296184923,0.822764296184923
"AC157572.2",0.410649894603285,0.89393301734244,0.652291455972863,0.652291455972863,0.652291455972863
"AC160336.1",0.831361562668898,2.44677132814687,1.63906644540788,1.63906644540788,1.63906644540788
"AC161165.1",0.557336485799155,1.20448164629897,0.880909066049062,0.880909066049062,0.880909066049062
"AC161165.4",0.844010279136889,1.43359179513897,1.13880103713793,1.13880103713793,1.13880103713793
"AC168059.1",0.0829296781203673,0.90570528910923,0.494317483614799,0.494317483614799,0.494317483614799
"AI427809",0.683442772087869,1.85882882432192,1.27113579820489,1.27113579820489,1.27113579820489
"AI467606",2.06347443076949,5.77969711376363,3.92158577226656,3.92158577226656,3.92158577226656
"AI506816",2.36555478342612,3.54199986167544,2.95377732255078,2.95377732255078,2.95377732255078
"AI593442",3.90888379740081,4.24827188725602,4.07857784232841,4.07857784232841,4.07857784232841
"AI606181",1.67759328499515,2.22550688424838,1.95155008462176,1.95155008462176,1.95155008462176
"AL589670.4",0.470428903856915,0.850855779472924,0.66064234166492,0.66064234166492,0.66064234166492
"AL590144.2",0.754916974861883,2.24443547087665,1.49967622286927,1.49967622286927,1.49967622286927
"AL591952.3",2.12062255996285,2.79469313919424,2.45765784957854,2.45765784957854,2.45765784957854
"AU020206",2.41858956581576,3.66871236933325,3.0436509675745,3.0436509675745,3.0436509675745
"AW112010",3.31514522493597,4.6070792801257,3.96111225253084,3.96111225253084,3.96111225253084
"Aaas",4.6448168395584,5.66213930884414,5.15347807420127,5.15347807420127,5.15347807420127
"Aacs",3.64982544271756,4.06545950950992,3.85764247611374,3.85764247611374,3.85764247611374
"Aagab",3.88118686833008,4.82862601726932,4.3549064427997,4.3549064427997,4.3549064427997
"Aard",1.3227672026874,2.22931155331817,1.77603937800278,1.77603937800278,1.77603937800278
"Aars",5.00447562521585,5.93484309051699,5.46965935786642,5.46965935786642,5.46965935786642
"Aars2",1.19491366105866,2.44866088448054,1.8217872727696,1.8217872727696,1.8217872727696
"Aatf",1.59834752865383,1.9532513439538,1.77579943630382,1.77579943630382,1.77579943630382
"Abca1",2.60200187065015,3.58779307793728,3.09489747429371,3.09489747429371,3.09489747429371
"Abca3",1.78433495038006,2.28111799477097,2.03272647257552,2.03272647257552,2.03272647257552
"Abca9",1.33834050344374,3.89186394617143,2.61510222480758,2.61510222480758,2.61510222480758
"Abcb1a",0.516069924969039,0.614601537411762,0.5653357311904,0.5653357311904,0.5653357311904
"Abcb1b",0.681451406854385,1.50016322898178,1.09080731791808,1.09080731791808,1.09080731791808
"Abcb7",1.67298289605269,2.33658405003311,2.0047834730429,2.0047834730429,2.0047834730429
"Abcc1",1.49704872714057,1.85645858717147,1.67675365715602,1.67675365715602,1.67675365715602
"Abcc3",0.28392206591338,3.09207284268123,1.68799745429731,1.68799745429731,1.68799745429731
"Abcd1",3.14892966195902,4.50549702971847,3.82721334583874,3.82721334583874,3.82721334583874
"Abcd2",3.29573326377913,3.87486630063155,3.58529978220534,3.58529978220534,3.58529978220534
"Abce1",4.68615082130026,5.10749608025578,4.89682345077802,4.89682345077802,4.89682345077802
"Abcf1",5.66246778883621,6.29608764927749,5.97927771905685,5.97927771905685,5.97927771905685
"Abcf2",6.13094775312713,6.58363717648931,6.35729246480822,6.35729246480822,6.35729246480822
"Abcg3",0.0168759887358479,1.39981240431011,0.708344196522979,0.708344196522979,0.708344196522979
"Abhd11os",2.93638392329708,3.0844152512243,3.01039958726069,3.01039958726069,3.01039958726069
"Abhd12",2.54111791705951,2.95815370874779,2.74963581290365,2.74963581290365,2.74963581290365
"Abhd15",0.707175419903303,1.46213661075967,1.08465601533149,1.08465601533149,1.08465601533149
