"","Gene","Category"
"550","Timm8b","NPCbyNSC"
"551","4930578M01Rik","NPCbyNSC"
"552","Tmem14a","NPCbyNSC"
"553","Lhb","NPCbyNSC"
"554","Chchd7","NPCbyNSC"
"555","Slain1","NPCbyNSC"
"556","Sgk1","NPCbyNSC"
"557","Slc48a1","NPCbyNSC"
"558","Teddm3","NPCbyNSC"
"559","Socs2","NPCbyNSC"
"560","Acbd7","NPCbyNSC"
"561","Gm4189","NPCbyNSC"
"562","Nprl2","NPCbyNSC"
"563","Crmp1","NPCbyNSC"
"564","Gm24045","NPCbyNSC"
"565","Gm43241","NPCbyNSC"
"566","Gm29562","NPCbyNSC"
"567","Ndrg2","NPCbyNSC"
"568","Ptges","NPCbyNSC"
"569","Rps6kl1","NPCbyNSC"
"570","Arpc1a","NPCbyNSC"
"571","Gm23502","NPCbyNSC"
"572","Cttnbp2","NPCbyNSC"
"573","9630028B13Rik","NPCbyNSC"
"574","Zcchc12","NPCbyNSC"
"575","Gm45620","NPCbyNSC"
"576","Gm2564","NPCbyNSC"
"577","Fam166b","NPCbyNSC"
"578","Scg5","NPCbyNSC"
"579","Gm38214","NPCbyNSC"
"580","Ip6k2","NPCbyNSC"
"581","2610306M01Rik","NPCbyNSC"
"582","Gm6030","NPCbyNSC"
"583","Cldnd1","NPCbyNSC"
"584","Cd59a","NPCbyNSC"
"585","C920006O11Rik","NPCbyNSC"
"586","Lrrc23","NPCbyNSC"
"587","Slc7a10","NPCbyNSC"
"588","Ccdc80","NPCbyNSC"
"589","Sfxn5","NPCbyNSC"
"590","Irf2bpl","NPCbyNSC"
"591","Enoph1","NPCbyNSC"
"592","Crybb3","NPCbyNSC"
"593","Gm5340","NPCbyNSC"
"594","Gm33594","NPCbyNSC"
"595","Gimap4","NPCbyNSC"
"596","Tmem205","NPCbyNSC"
"597","Tceal1","NPCbyNSC"
"598","Crh","NPCbyNSC"
"599","Gm44866","NPCbyNSC"
"600","Tmem200b","NPCbyNSC"
"601","Acot8","NPCbyNSC"
"602","Svip","NPCbyNSC"
