"","HCN_cells_in_iQNP_electroporated_with_empty_vector","HCN_cells_in_TAP_electroporated_with_empty_vector"
"AABR07031480.1",0.568821623515305,2.63960142772
"AABR07031494.1",1.11845052612672,3.8479765612203
"AABR07031756.2",3.11847514256486,6.24464863948838
"AABR07032135.1",0.570475099520505,1.3906040346458
"AABR07033318.1",0.668514515390275,1.8612734082914
"AABR07033416.1",0.5086574970312,0.826934526216605
"AABR07033540.1",3.54372366376639,4.40598564935113
"AABR07033666.1",2.96802213034096,3.71830917254072
"AABR07033757.1",0.805625143951978,1.63293376424611
"AABR07034098.1",4.75850608733045,6.16798392512783
"AABR07034262.1",6.36208258180928,8.07555839605926
"AABR07034362.2",0.578585025832418,0.845835881102668
"AABR07034393.1",2.92678937489063,3.61886484681122
"AABR07034573.3",2.14918436820362,3.04439324434577
"AABR07034592.1",1.94685140098847,2.85324618094258
"AABR07034730.1",2.07216141460462,3.4138032023769
"AABR07034833.2",1.46190451581064,3.2298192306812
"AABR07034940.2",2.04616501028444,5.99987914133552
"AABR07035338.1",0.734199969468945,1.54693415291637
"AABR07035832.1",1.88411967556084,5.65910503233101
"AABR07036007.1",0.30304943813574,2.89569177462736
"AABR07036016.1",0.874175471749535,1.14112324840741
"AABR07036019.1",1.11238868271438,3.42121470929282
"AABR07036331.2",1.05739722802263,2.7561986404811
"AABR07036336.1",0.901311966290605,4.37194367567795
"AABR07036855.1",2.27276735035782,5.26563480122716
"AABR07037395.1",2.02477630766837,4.96130489235322
"AABR07037528.1",1.41465674100279,5.05284510018734
"AABR07037645.1",1.49051324177815,3.02082103661568
"AABR07038567.1",2.09961028213357,4.17240279930237
"AABR07038849.2",0.873642822503295,1.50284920733065
"AABR07039234.1",2.13554942159857,6.85229503368845
"AABR07040624.1",0.99918196741918,5.21719460787241
"AABR07040847.1",3.31254036760334,8.14139023224696
"AABR07041096.1",0.392459147918766,3.08451954097843
"AABR07042542.1",0.956045497459793,1.1536593889484
"AABR07042611.1",1.95163088038659,5.04676171857201
"AABR07042821.1",6.07411218172809,7.92936461665761
"AABR07043098.1",0.196500529453078,2.41037964427285
"AABR07043169.1",0.676260882034785,1.32674381144787
"AABR07043190.1",0.8412450107295,1.44074705405939
"AABR07043271.1",0.561556775395905,0.690709324273605
"AABR07043347.1",4.02062747812479,5.83843393836379
"AABR07043389.1",0.94007515832149,1.50225609058655
"AABR07043421.1",1.92242387597877,4.02422731449115
"AABR07043429.2",0.55119811326166,0.661776940594595
"AABR07043445.1",1.24645710467446,2.61057983990384
"AABR07043453.1",0.969352657546555,4.18377218922059
"AABR07043510.1",1.75866055639676,5.22873511891244
"AABR07044308.4",0.54479610507517,0.73586880680071
"AABR07044362.1",0.63369231718507,2.19970467387393
"AABR07044362.4",0.632747855079815,3.51695543953024
"AABR07044366.1",1.8586085882792,5.04875686865369
"AABR07044925.1",1.3167650978487,2.70680473101358
"AABR07044933.1",1.19798587274185,1.47265377749334
"AABR07045307.1",5.2034227505954,6.19349554780555
"AABR07046628.1",0.285846510162404,3.94526486846649
"AABR07046866.1",0.500635423987885,0.81609695574606
"AABR07047011.1",1.0403464967531,3.21167567289095
"AABR07047219.1",0,3.69856542716788
"AABR07047262.1",2.6267238604578,2.87891432255043
"AABR07047771.1",1.80327401039071,3.11487953400148
"AABR07047789.1",0.98733968483632,2.97431235453635
"AABR07048228.1",1.82359736669821,2.37716156090313
"AABR07048305.1",0.950777617815025,1.6317483897415
"AABR07048698.1",2.30762290085207,2.72722153223659
"AABR07049128.1",1.36910587085338,1.52623235258797
"AABR07049223.1",0.668909165518905,1.16137086701138
"AABR07049554.1",0.91312606326196,1.58541450830366
"AABR07049579.2",0.94039544669499,1.39704052370206
"AABR07049695.3",1.37415063179936,3.7160821456931
"AABR07049755.1",0.940625129724635,2.85360614968691
"AABR07049769.2",0.752391543957965,1.76764897182905
"AABR07049773.2",2.61756691179315,6.44131444325013
"AABR07050321.2",0.506626993927465,0.68956877011783
"AABR07050423.1",1.20147955699732,1.35411823194213
"AABR07050545.1",0.67925032963972,1.54721517999515
"AABR07051177.1",1.3954733530608,4.42707821094124
"AABR07051376.2",0.509111023337815,0.88027196001869
"AABR07051787.1",1.33161221215935,3.90679155852148
"AABR07051947.1",3.62434277756348,4.0185035941665
"AABR07052519.1",1.52751630082281,3.13368453621429
"AABR07052890.1",1.12263775677311,1.39138204487279
"AABR07052897.1",1.6860018030502,2.36361574476112
"AABR07052897.2",2.13121085468075,6.0112009088147
"AABR07053136.1",0.556834473097475,1.5282435121368
"AABR07053179.1",2.2867883605125,3.24486486331514
"AABR07053500.2",0.6851516821802,1.4542686002502
"AABR07053681.1",0.921729075405915,3.0625681882742
"AABR07053687.1",0.864830676923605,2.04620496255282
"AABR07053749.2",1.65455262551909,4.6071866009354
"AABR07054266.1",0.83637110094059,3.58534533404412
"AABR07054286.1",0.585981754682285,0.82945316347978
"AABR07054578.1",2.1809397329857,6.7533777521784
"AABR07054855.1",0.856627365170375,0.984328791416805
"AABR07055776.1",0.766327052726915,3.38549265984014
"AABR07055826.1",1.04056665503051,1.28719621795053
"AABR07055834.1",1.26582513421097,1.56275812535635
"AABR07055917.1",1.98211584976617,5.92291177667506
"AABR07055919.1",1.92284949249762,4.99892985909777
