"","module.id","module.size","module.parent","module.hub","module.scale","module.pvalue"
"c1_36","c1_36",353,"c1_3","ATXN10(31),THAP7(29),TRMU(29),XRCC6(28),ZC3H7B(26),PPP6R2(26),MIEF1(25),DRG1(25),UBE2L3(23),PPIL2(21),HPS4(20),PITPNB(20),RANBP1(19),MCAT(19),GGA1(19),BRD1(17),L3MBTL2(15),SMARCB1(15),ESS2(14),RHBDD3(14),ZDHHC8(14),RNF185(13),TUBGCP6(13),HSCB(13)",NA,0
"c1_37","c1_37",421,"c1_3","GAPVD1(68),TOR1A(50),ZBTB43(33),ZNF510(32),TEX10(28),USP20(27),GPR107(26),PMPCA(25),PPP6C(22),HIST1H2AC(19),RAB14(19),MRPL50(18),PHF2(17),UBQLN1(17),RABL6(17),FBXW5(16),TSC1(16),NELFB(16),RAD23B(16),ERP44(16),SURF6(15),RABGAP1(15),AAED1(15),MFSD14B(14),HIST1H2BD(14),MRRF(14)",NA,0
"c1_38","c1_38",528,"c1_3","RPS8(41),RPL23(25),VIRMA(25),POLK(24),RPS14(20),RAD17(20),RPL7A(19),RPS18(19),MRPS27(17),PCBP2(17),RPL19(16),MTERF3(16),RPS24(15),RPL41(15),MT-ATP8(15),OTUD6B(15),RPS27A(15),HAUS6(14),NSA2(14),NDUFB3(14),RPS23(13),RPL7(13),RPL34(13),UBR5(13),PFDN5(13),TCF19(13),ATP6V1C1(13),EMD(13),GPLD1(13)",NA,0
"c1_39","c1_39",257,"c1_3","ETF1(33),SMAD5(29),CSNK1A1(27),CDC23(25),BRD8(23),SCAMP1(22),UBE2D2(20),C5orf24(19),AFF4(18),KDM3B(17),IK(15),TRIM23(14),LARP1(14),CSNK1G3(14)",NA,0
"c1_40","c1_40",127,"c1_3","SHARPIN(28),HSF1(19),VPS28(19),TAF2(18),ZC3H3(17),WASHC5(15),CYHR1(15)",NA,0
"c1_41","c1_41",175,"c1_3","RUVBL2(28),VRK3(26),PPP5C(22),PRMT1(20),STRN4(20),ZNF235(18),ERCC1(17),ZNF155(15),SNRNP70(15)",NA,0
"c1_42","c1_42",201,"c1_3","RNF216(30),USP42(27),NUDCD3(23),MALSU1(21),EIF3B(18),CDK13(18),DDX56(17),KLHL7(17),HERPUD2(14)",NA,0
"c1_43","c1_43",293,"c1_3","RALGAPB(35),CSNK2A1(34),PSMF1(31),TBC1D20(27),CSE1L(25),CTNNBL1(25),PIGU(22),XRN2(22),CDK5RAP1(18),IDH3B(17),STAU1(17),RAE1(16),NSFL1C(15),ADNP(15),DHX35(15),PTPRA(14),MANBAL(14),GID8(13),SNRPB2(13)",NA,0
"c1_44","c1_44",110,"c1_3","PUM3(23),NFX1(21),UBE2R2(20),SMU1(18),CREB3(17),STOML2(17),UBAP1(16),APTX(16)",NA,0
"c1_45","c1_45",260,"c1_3","MAP2K2(41),HDGFL2(36),RANBP3(26),AP1M1(24),GNA11(22),SMARCA4(22),GTF2F1(21),STK11(20),FARSA(17),MBD3(16),POLR2E(15)",NA,0
"c1_46","c1_46",152,"c1_3","ZNF583(20),ZNF134(19),HSPBP1(17),ZNF132(15),ZNF444(15),ZNF347(15),ZNF432(15),ZNF613(15),ZNF324(14),CNOT3(14)",NA,0
"c1_47","c1_47",150,"c1_3","NKAPD1(38),VPS26B(22),ARCN1(21),CUL5(20),RNF214(18)",NA,0
"c1_48","c1_48",241,"c1_3","ZNF570(27),ZFP30(23),ZNF461(20),HKR1(18),POP4(15),ZNF568(15),RBM42(15),TMEM147(15),ILF3-AS1(15),PSMD8(14),ZNF566(13),EIF3K(13),UBA2(13),TBCB(13),ECH1(13),ZNF569(13)",NA,0
"c1_49","c1_49",202,"c1_3","RLIM(34),DKC1(21),ZNF426(19),VMA21(18),FMR1(17),RBMX2(16),ZNF121(15),CUL4B(14)",NA,0
"c1_50","c1_50",194,"c1_3","AP1G1(33),IST1(32),SPG7(26),POLR2C(25),E2F4(21),VAC14(18),DHX38(17),CIAPIN1(14)",NA,0
"c1_51","c1_51",182,"c1_3","ZFP62(24),KIAA1191(21),ZNF346(19),ERGIC1(19),U2SURP(18),SLC25A36(17),CLINT1(17),FAF2(16),RMND5B(13),RUFY1(13)",NA,0
"c1_52","c1_52",106,"c1_3","GRIPAP1(20),ZFX(20),ARAF(20),SYAP1(19),TRAPPC2(17)",NA,0
"c1_53","c1_53",519,"c1_4","DHX30(52),USP19(48),QRICH1(31),CDC123(28),HSPA14(27),BUB1(25),DCAF1(23),KIFC1(21),DLGAP5(21),WDR82(21),SEPHS1(20),ATP5F1C(19),CENPE(16),NCAPH(16),UBE2C(15),BIRC5(15),GDI2(15),CDCA2(15),KIF15(14),TOP2A(13),SCAP(13),NUSAP1(13),TPX2(13),UQCRC1(13)",NA,0
"c1_54","c1_54",405,"c1_4","WDFY4(34),RSAD2(31),EPSTI1(31),STAT1(30),PARP14(28),SUPT16H(26),TOX4(25),CHD8(24),HECTD1(24),GBP1P1(23),NGDN(22),ISG15(20),PSMB9(20),HERC6(18),RALGAPA1(18),APOL1(17),DDX60(16),GBP1(15),RNF31(15),MX1(14),DOCK8(14)",NA,0
