"","PGBC_SRR5196886","PGBC_SRR5196887","PGBC_SRR5196888","PGBC_SRR5196889","PGBC_SRR5196890","PGBC_SRR5196891","PGBC_SRR5196892","PGBC_SRR5196893","PGBC_SRR5196898","QGBC_SRR5196894","QGBC_SRR5196895","QGBC_SRR5196896","QGBC_SRR5196897","QGBC_SRR5196899","QGBC_SRR5196900"
"NLRC5",1.81968478770811,1.6536716656295,1.59254551760942,1.4199820634327,2.785833937943,2.8974827890427,1.9915234655167,1.79223102852995,2.00006078995795,1.56012010754089,1.6289493136289,1.31933437212286,1.51529355309134,1.79216643541734,1.55755274044775
"NMB",5.14297972828418,5.08192989777917,3.0482973342257,2.93412114495859,6.94605404987269,3.35601125447694,4.92634992877991,5.00249218564351,5.16688436713138,2.42646411236826,4.31343816714969,3.27408820866834,4.95588645727007,3.66293115883044,4.54381474743308
"NMD3",2.44619390639108,2.73427892100482,2.95321886777,3.09034582162127,2.72449593132319,2.81480157256089,2.14252768778269,2.70151318799013,2.45624993009106,2.20205548824777,2.09307084464966,2.1428569743412,2.36841971019542,2.09450586664893,2.50954811674452
"NME4",4.35816460383561,4.00948206705628,5.62024372637012,6.01740303080167,4.66803254579064,5.36739425076465,4.34976638633395,3.97780257448278,4.63771806228412,3.80993874239413,4.02472277499643,3.95721022717118,3.68854524205553,4.18916033806329,4.62836466218928
"NMI",3.89920583205877,3.10851520821702,3.79063344192108,3.52124812039842,4.12766848111481,4.28689392740663,3.55083778849864,2.85003698291942,3.69507715485334,2.20570734601633,2.52621395165885,2.74951338088823,2.92861486230343,2.75719107719077,3.07881757188703
"NMRK1",0.771984985491468,0.440285280243564,2.67348412459315,3.1332648352938,3.84214572849857,3.19840375764854,0.753426217867735,0.223398224219445,0.679639837618114,1.60146001068126,1.50200918033823,1.4518087397524,0.961401692004071,1.61286795931229,1.32269780952319
"NMTRQ-TTG12-1",0,0,0,1.7894201116457,0,0,0,1.83682032705674,0,0,0,0,0,0,0
"NMU",1.57194162483436,0.254093676213757,0.765905535021661,0.533930408169898,1.10469311784579,0.109399129052363,1.69094821668029,0.164243791098537,1.11938973346692,0.128999008483828,0.205707329144312,0.307692535437843,0.119488037339468,0.782797686017133,0.101526481364823
"NOC2L",5.54490836771634,4.92796172688236,5.77549102497141,6.20461690465511,5.85236446968534,5.65982414879634,5.67646400334543,5.4867723077513,5.6519069466939,4.82919351893695,4.48588086496633,5.09211102569597,5.02360547007795,4.92754223745753,5.40334672285483
"NOC2LP1",0.633760554214905,0.229234849084124,4.48784092149762,4.85531883607514,0.592642456118194,1.24406272784779,0.723804830197697,0.267434394523967,0.66569972210016,0,0.269702602398715,0.111441678090689,0.409431242562532,0.334301692194401,0.264852022480809
"NOC3L",4.25826387458091,3.77255460287436,3.67597448028295,3.86783169711285,3.83692673065049,4.34663533486316,3.9758850286539,3.69932513260941,3.97436434427276,3.30197368401741,3.15414462984397,3.40002016182226,3.19995965146137,3.35091794575679,3.65232445936108
"NOL10",1.77341413389292,1.31738833491473,2.26033339630385,2.37240274050449,1.95831665765225,1.74109921433807,1.64930931625482,1.2887192700469,1.8458832062897,1.29148933311048,1.04584024370611,1.20800760855965,0.986803250515351,1.28451827783862,1.61513425452256
"NOL11",5.49084108171272,4.04047245904491,5.69487781419663,5.72235521815184,4.20131717544512,4.46246880871251,5.24801780227119,4.15327505547243,5.33273486503108,3.93471626234857,3.21339083185406,4.00881731098488,3.28064239865293,4.11691634327624,4.68297570415907
"NOL7",5.24905121109933,4.64454401815004,5.89498327553509,5.66895035277208,4.59181211457022,5.0004622624766,4.88323469065668,4.46744467799156,5.00629644597246,3.76107030680276,3.50847633281472,3.71737864818012,3.95161588882567,4.34410607656758,4.99222559320751
"NOL8",4.90082077011979,4.25861912183269,5.0290240285175,5.26417012691466,4.63325245059826,4.51678223283067,4.70590710732651,4.2625216393933,4.71297201592049,4.23178290273719,3.95070204178184,4.62179890419447,4.35704186967618,4.34121109753169,4.63247478508777
"NOL9",3.10149023533263,2.38356686667757,4.01422321699549,3.91057632196779,3.16117466311192,2.95939021599052,2.95044212396562,2.76150646287773,3.05921841095136,2.77167860648218,2.37266707813261,2.62954977115552,2.16336737853633,2.6670634304694,3.00859107111014
"NOLC1",6.72902079103083,6.29897363742141,6.75297752939531,7.17742612682276,7.02349550937765,6.43483927502459,6.59525150234409,6.61217059029899,6.79985013117023,5.64445697122115,5.63134800249573,5.71452963325799,5.93950622821769,5.75748945557196,6.4667229497172
"NONO",7.84586927062099,7.41075218820279,8.99808680966931,8.87997131720863,6.95614128636496,7.32298729793955,7.80767590781198,7.62338188418786,8.06110117445119,7.40079292405141,7.14174778765092,7.66917540213559,7.05274870060575,7.44801117774112,7.65525134624613
"NOP10",8.28585691307498,7.40119281500297,8.30192840786368,8.21049396066213,9.06721152943163,8.5002509564668,8.40808688789146,7.42766930410794,8.5152624631934,7.32664591499419,7.02655700992825,7.22827266974124,6.71053284951935,7.67793864411117,8.52203102188599
"NOP56",7.41103642961397,6.99210813285357,8.4150964949968,8.44848183069182,6.17874740232744,7.04722635998883,7.26253862477617,7.25717087835622,7.36741564177585,6.48305334040842,6.5641567129937,6.50436347828405,6.31364150769946,6.64332220194524,6.71337975818037
"NOP56P1",0,0,5.07874375823412,4.97416740336588,0,4.30880392197218,1.76083846881857,0.996893047069408,0,0,0.587344115010623,0,0,0,0
"NOP56P3",0.573920949912077,1.15072390670388,5.59335863867249,5.53869775507822,0,4.82146347385659,0.823283172689796,0.972381313841084,0,0.704596677690125,0,0.649876779715127,0,1.15821660012347,1.65158823556233
