"","meanx","meany","FC","logFC","Contrast"
"Lypd6",6,267.888888888889,44.6481481481482,5.48052843343906,"QSVZbyPSVZ"
"Sez6l2",23.5555555555555,1041.4722222222,44.2134433962256,5.46641319238236,"QSVZbyPSVZ"
"Dhrs3",13,573.083333333334,44.0833333333333,5.46216141139287,"QSVZbyPSVZ"
"Zswim6",5.66666666666668,248.333333333333,43.8235294117646,5.45363377409918,"QSVZbyPSVZ"
"Erv3",3.99999999999999,174.611111111111,43.6527777777778,5.44800155535644,"QSVZbyPSVZ"
"Mpp2",7.94444444444445,346.11111111111,43.5664335664334,5.44514511113297,"QSVZbyPSVZ"
"Mal",115.722222222222,4976.11111111115,43.0004800768127,5.42628086169211,"QSVZbyPSVZ"
"Pcdhb19",4.66666666666667,200.444444444444,42.9523809523809,5.42466620047662,"QSVZbyPSVZ"
"Slc7a11",63.2222222222222,2696.38888888882,42.6493848857635,5.41445302919393,"QSVZbyPSVZ"
"Hapln1",33.9444444444444,1443.88888888888,42.5368248772502,5.41064044354083,"QSVZbyPSVZ"
"LOC102633802",5.00000000000002,212.5,42.4999999999999,5.4093909361377,"QSVZbyPSVZ"
"Wipf3",5.00000000000002,211.166666666667,42.2333333333332,5.40031021353229,"QSVZbyPSVZ"
"Spsb1",9.94444444444445,418.000000000003,42.0335195530729,5.39346835625895,"QSVZbyPSVZ"
"Cystm1",9.11111111111112,379.861111111111,41.6920731707317,5.3817012079492,"QSVZbyPSVZ"
"Chst11",14.7222222222222,609.916666666666,41.4283018867925,5.37254478149192,"QSVZbyPSVZ"
"Mgat4a",6.33333333333334,261.222222222222,41.2456140350876,5.36616880948828,"QSVZbyPSVZ"
"Flt3l",5.00000000000002,205.333333333334,41.0666666666666,5.35989594508638,"QSVZbyPSVZ"
"Nrp1",15.7222222222222,634.027777777786,40.3268551236754,5.33366899692708,"QSVZbyPSVZ"
"Gad1",5.66666666666666,228.027777777777,40.2401960784313,5.33056542986906,"QSVZbyPSVZ"
"BB163080",7.66666666666666,308.194444444444,40.1992753623189,5.32909759030621,"QSVZbyPSVZ"
"Ndrg1",27.3888888888889,1093.44444444445,39.9229208924949,5.31914537174891,"QSVZbyPSVZ"
"Psap",114.916666666666,4580.88888888886,39.8627024413825,5.31696761406134,"QSVZbyPSVZ"
"Dock10",7.16666666666666,283.888888888889,39.6124031007752,5.30788032040173,"QSVZbyPSVZ"
"4732416N19Rik",3.99999999999999,158.138888888889,39.5347222222223,5.30504838294884,"QSVZbyPSVZ"
"Slc9a9",9.27777777777777,366.666666666667,39.5209580838324,5.30454601665913,"QSVZbyPSVZ"
"Sc5d",4.33333333333333,170.722222222222,39.3974358974359,5.30002983273071,"QSVZbyPSVZ"
"Rpe65",6.33333333333332,249.194444444445,39.3464912280703,5.2981630822449,"QSVZbyPSVZ"
"Atp8a1",12.2777777777778,482.944444444444,39.3348416289593,5.29773586988389,"QSVZbyPSVZ"
"Micall2",8.5,334.222222222222,39.3202614379084,5.29720100898498,"QSVZbyPSVZ"
"Gpr155",26.2222222222223,1021.27777777778,38.9470338983052,5.28344155557104,"QSVZbyPSVZ"
"Rdh10",19.2222222222222,747.888888888879,38.9075144508666,5.28197691369862,"QSVZbyPSVZ"
"Rbfox1",5.00000000000002,194.055555555556,38.811111111111,5.27839783106519,"QSVZbyPSVZ"
"Tpp1",44.9722222222222,1742.88888888883,38.754786905496,5.27630261477858,"QSVZbyPSVZ"
"Gm9866",5.66666666666666,219.472222222222,38.7303921568627,5.27539420404853,"QSVZbyPSVZ"
"Xpa",5.66666666666666,218.888888888889,38.6274509803922,5.27155457237225,"QSVZbyPSVZ"
"Mog",7.27777777777778,280.777777777778,38.5801526717557,5.26978694740732,"QSVZbyPSVZ"
"Abcg1",7.66666666666667,293.5,38.2826086956521,5.25861723777419,"QSVZbyPSVZ"
"Nos1ap",5.66666666666668,216.888888888889,38.2745098039215,5.25831199559139,"QSVZbyPSVZ"
"Gaa",51.8333333333333,1971.91666666663,38.0434083601279,5.24957459986547,"QSVZbyPSVZ"
"Fkbp10",20.4444444444445,776.499999999994,37.9809782608692,5.24720515977259,"QSVZbyPSVZ"
"Oaf",4.66666666666666,176.944444444444,37.9166666666667,5.2447602343649,"QSVZbyPSVZ"
"Cdh19",5.00000000000002,189.361111111111,37.8722222222221,5.24306817137558,"QSVZbyPSVZ"
"Cryab",28.6111111111111,1081.83333333335,37.8116504854375,5.24075891948853,"QSVZbyPSVZ"
"Epb4.1l3",12.9444444444444,487.555555555556,37.6652360515022,5.23516166574891,"QSVZbyPSVZ"
"Pcdh7",32.6111111111111,1228.08333333331,37.6584327086876,5.23490105313861,"QSVZbyPSVZ"
"Phlda1",8.22222222222224,309.361111111111,37.6249999999999,5.2336196767597,"QSVZbyPSVZ"
"Cdh5",5.00000000000002,185.333333333333,37.0666666666665,5.21205047711498,"QSVZbyPSVZ"
"Fmo1",24.2222222222222,895.805555555534,36.9827981651368,5.20878247988486,"QSVZbyPSVZ"
"Pde2a",10.2777777777778,377.888888888878,36.7675675675666,5.20036183019149,"QSVZbyPSVZ"
"Gsn",6.44444444444445,234.833333333334,36.4396551724138,5.18743740190322,"QSVZbyPSVZ"
"Slc22a4",6.11111111111111,221.444444444444,36.2363636363636,5.1793662813144,"QSVZbyPSVZ"
"Stx1b",11,397.333333333333,36.1212121212121,5.17477440110371,"QSVZbyPSVZ"
"Sema4a",50.0555555555556,1802.44444444442,36.0088790233068,5.1702807832051,"QSVZbyPSVZ"
"4932422M17Rik",10.8888888888889,390.555555555556,35.8673469387756,5.16459912984469,"QSVZbyPSVZ"
"Skap2",13.4444444444445,479.38888888889,35.6570247933885,5.15611442502656,"QSVZbyPSVZ"
"Hpca",5.00000000000002,178.111111111111,35.6222222222221,5.15470561382487,"QSVZbyPSVZ"
"Grm7",5.00000000000002,178.055555555556,35.611111111111,5.15425554517642,"QSVZbyPSVZ"
"Sned1",34.5,1218.5277777778,35.3196457326897,5.14239896725497,"QSVZbyPSVZ"
"Lgr4",66.0833333333332,2325.22222222215,35.1862126944084,5.13693833130962,"QSVZbyPSVZ"
"Sec14l2",68.8055555555558,2414.05555555558,35.0851836899477,5.1327900106089,"QSVZbyPSVZ"
"Gpc5",100.055555555556,3497.41666666667,34.9547473625764,5.12741650274354,"QSVZbyPSVZ"
"Sptbn1",5.00000000000002,174.083333333333,34.8166666666666,5.12170618145859,"QSVZbyPSVZ"
"Ppp2r2b",16.8333333333333,585.722222222222,34.7953795379538,5.12082383888541,"QSVZbyPSVZ"
"Gm10374",5.77777777777779,200.555555555556,34.7115384615384,5.11734340363344,"QSVZbyPSVZ"
"Cthrc1",7.66666666666667,266.055555555556,34.7028985507247,5.11698426345783,"QSVZbyPSVZ"
"Slc33a1",22.3333333333334,773.416666666647,34.6305970149244,5.11397535400917,"QSVZbyPSVZ"
"Cadm2",54.0555555555557,1870.52777777777,34.6038026721478,5.11285868173203,"QSVZbyPSVZ"
"1810010H24Rik",5.99999999999998,207.444444444444,34.5740740740741,5.11161871006274,"QSVZbyPSVZ"
"C1qtnf5",5.77777777777779,199.666666666667,34.5576923076922,5.11093497536885,"QSVZbyPSVZ"
"Krba1",5.99999999999998,207.111111111111,34.5185185185186,5.10929864249082,"QSVZbyPSVZ"
"Aqp4",146.722222222222,5046.27777777781,34.3934115865205,5.10406032313469,"QSVZbyPSVZ"
"Slc25a44",24.8333333333334,852.361111111118,34.3232662192396,5.10111494184156,"QSVZbyPSVZ"
"Serpina3n",7.00000000000001,240.222222222222,34.3174603174603,5.10087088423473,"QSVZbyPSVZ"
"2900046D03Rik",9.27777777777777,318.222222222222,34.2994011976047,5.1001114847902,"QSVZbyPSVZ"
"Abhd3",106.5,3647.94444444443,34.2529994783514,5.09815842290414,"QSVZbyPSVZ"
"Cd302",8.61111111111114,293.777777777778,34.116129032258,5.09238205623345,"QSVZbyPSVZ"
"Mertk",95.7777777777777,3213.77777777784,33.5545243619496,5.06843540183359,"QSVZbyPSVZ"
"AI593442",12.3888888888889,414.388888888889,33.4484304932736,5.06386661150314,"QSVZbyPSVZ"
"Wls",12.7222222222222,425.027777777777,33.4082969432313,5.06213453508259,"QSVZbyPSVZ"
"Mt3",144.055555555556,4809.77777777786,33.3883532587741,5.06127303512918,"QSVZbyPSVZ"
"Stk38l",7,232.75,33.2500000000001,5.05528243550119,"QSVZbyPSVZ"
"Caskin2",14.7222222222222,489.36111111111,33.2396226415093,5.05483209864684,"QSVZbyPSVZ"
"Spock1",6.33333333333332,210,33.1578947368422,5.0512805049437,"QSVZbyPSVZ"
"Tspan15",11.1666666666667,369.694444444445,33.1069651741293,5.04906286373456,"QSVZbyPSVZ"
"Aldh1a1",8.61111111111111,283.5,32.9225806451613,5.0410055211103,"QSVZbyPSVZ"
"Trpm3",6.66666666666666,218.666666666667,32.8,5.03562390973072,"QSVZbyPSVZ"
"Malt1",4.33333333333333,141.777777777778,32.7179487179487,5.03201039490262,"QSVZbyPSVZ"
"Abhd5",13.3333333333333,435.388888888889,32.6541666666667,5.02919518607116,"QSVZbyPSVZ"
"Cntn1",18.2777777777778,594.11111111111,32.5045592705166,5.02257018766337,"QSVZbyPSVZ"
"Habp4",7.27777777777779,232,31.8778625954198,4.99448299503243,"QSVZbyPSVZ"
"Degs1",59.111111111111,1881.22222222225,31.8251879699253,4.99209713006594,"QSVZbyPSVZ"
"LOC102634450",4.66666666666667,148.444444444445,31.8095238095238,4.99138686969529,"QSVZbyPSVZ"
"Vcl",114.888888888889,3645.6666666667,31.732108317215,4.98787147361984,"QSVZbyPSVZ"
"Gm11627",32.2777777777778,1023.25000000002,31.7013769363171,4.98647359948089,"QSVZbyPSVZ"
