GSM2652126	GSM2652127	GSM2652129	GSM2652134	GSM2652135	GSM2652136
1416022_at	4249	3448	2916	4490	3903	3662
1416023_at	9	6	6	6	5	26
1416024_x_at	3459	795	430	3857	4146	3432
1416025_at	5	5	5	5	5	5
1416026_a_at	788	548	638	3581	3719	3685
1416027_at	719	892	251	218	586	227
1416028_a_at	45	775	11	3104	3492	1225
1416029_at	236	6	6	285	310	86
1416030_a_at	5	5	18	846	670	181
1416031_s_at	33	62	283	3022	3142	2691
1416032_at	437	416	477	423	972	50
1416033_at	9	25	8	5	5	5
1416034_at	8	8	5	1386	2199	1453
1416035_at	158	64	117	86	102	158
1416036_at	1923	3381	1395	1934	2346	2146
1416037_a_at	597	1911	367	5188	3688	2687
1416038_at	393	618	1900	254	169	537
1416039_x_at	963	1133	844	65	49	33
1416040_at	4	4	4	4	4	4
1416041_at	68	116	19	6	16	59
1416042_s_at	90	144	13	2582	3102	3044
1416043_at	158	45	7	3577	2765	4524
1416044_at	141	256	705	44	91	193
1416045_a_at	1755	1022	361	2123	1085	1302
1416046_a_at	60	75	100	15	14	5
1416047_at	5	11	5	5	5	5
1416048_at	205	616	572	590	447	526
1416049_at	1625	2326	708	1123	187	120
1416050_a_at	11	55	7	7	8	7
1416051_at	5	5	5	5	5	5
1416052_at	33	5	20	75	225	287
1416053_at	2014	1738	1736	1461	1617	873
1416054_at	1254	1628	1348	7515	7487	5630
1416055_at	6	6	6	6	6	7
1416056_a_at	8673	8146	9633	5043	7847	10546
1416057_at	483	390	641	452	367	542
1416058_s_at	5076	2529	4776	4480	4065	2989
1416059_at	329	325	476	639	516	640
1416060_at	50	669	128	132	346	340
1416061_at	413	1534	48	571	211	835
1416062_at	466	157	644	1020	1028	1012
1416063_x_at	5	5	5	5	5	5
1416064_a_at	5427	5772	2734	7382	6178	6235
1416065_a_at	47	535	208	80	494	164
1416066_at	721	913	782	511	560	315
1416067_at	1880	1537	2133	1873	2179	1111
1416068_at	8	6	17	239	410	253
1416069_at	1081	1571	1271	84	102	17
1416070_a_at	1244	1822	1077	273	2493	6213
1416071_at	253	53	15	259	316	1048
1416072_at	9	5	5	5	5	5
1416073_a_at	15	15	19	555	423	251
1416074_a_at	5777	2958	6072	15619	17715	13006
1416075_at	16	25	100	70	38	23
1416076_at	5	5	5	406	500	492
1416077_at	5	6	5	5	5	6
1416078_s_at	240	20	286	419	160	408
1416079_a_at	1151	507	1046	35	480	153
1416080_at	17	24	31	12	23	23
1416081_at	21	5	5	25	21	5
1416082_at	3326	6569	4932	5754	5310	4427
1416083_at	2184	1107	716	244	1150	1016
1416084_at	2226	1256	2649	1478	2192	2902
1416085_s_at	3929	2511	11686	2879	5221	4949
1416086_at	312	244	75	73	94	204
1416087_at	273	24	25	111	236	141
1416088_a_at	5739	3709	6876	11918	11063	10877
1416089_at	1695	850	1858	3870	3833	6814
1416090_at	2929	1826	1944	1967	2118	2156
1416091_at	735	755	802	739	896	783
1416092_a_at	2200	3844	438	1467	1340	2234
1416093_a_at	263	78	682	735	898	384
1416094_at	62	106	41	16	198	72
1416095_x_at	126	42	76	587	708	2005
1416096_at	60	12	291	67	132	69
1416097_at	946	19	43	12	14	191
1416098_at	115	5	5	5	11	5
1416099_at	2452	1364	2170	8026	8362	5663
1416100_at	269	803	264	1633	1340	1676
1416101_a_at	2816	7753	1496	401	746	280
1416102_at	5815	1915	1677	6064	5377	5261
1416103_at	147	251	32	34	143	85
1416104_at	387	42	898	129	223	238
1416105_at	128	5	172	219	438	47
1416106_at	22	16	118	48	65	6
1416107_at	733	9	6	371	1199	496
1416108_a_at	625	833	991	19	149	393
1416109_at	1119	688	167	495	292	637
1416110_at	478	9	2746	167	410	182
1416111_at	5	5	5	5	5	5
1416112_at	460	349	523	575	532	308
1416113_at	109	97	1119	193	154	272
1416114_at	15916	18040	14086	1954	987	1106
1416115_at	264	902	226	1321	1121	760
1416116_at	239	466	300	126	231	164
1416117_at	31	213	28	27	150	22
1416118_at	805	766	691	2127	3356	2741
1416119_at	1060	527	802	3051	4011	3361
1416120_at	5	6	6	1045	1423	560
1416121_at	4	5	5	5	4	6
1416122_at	130	28	6	6773	7013	7003
1416123_at	170	451	2274	16228	16552	18040
1416124_at	413	1050	825	3115	3715	3770
1416125_at	5	5	5	232	220	8
1416126_at	16	7	9	69	10	10
1416127_a_at	89	178	8	219	100	118
1416128_at	7	8	7	8	9	24
1416129_at	22	9	39	7	5	5
1416130_at	3540	6914	4158	1026	286	325
1416131_s_at	22	11	26	7	98	9
1416132_at	248	135	289	77	61	139
1416133_at	124	834	110	34	192	5
1416134_at	1356	919	1463	62	99	298
1416135_at	7	119	136	1557	988	1262
1416136_at	4	4	4	15	5	4
1416137_at	42	25	5	5	5	5
1416138_at	78	17	198	12	9	13
1416139_at	5	5	5	5	5	5
1416140_a_at	173	7	8	174	80	18
1416141_a_at	3197	1490	6826	11183	9893	9474
1416142_at	197	427	33	337	1698	95
1416143_at	4105	2549	3724	4554	3429	3564
1416144_a_at	640	1021	865	798	2391	981
1416145_at	234	746	591	994	1764	588
1416146_at	1159	814	3153	7177	4863	8576
1416147_at	177	111	92	409	1381	3856
1416148_at	958	2057	1466	243	225	114
1416149_at	1430	1283	1375	256	282	290
1416150_a_at	1181	1184	1661	4122	6162	5804
1416151_at	37	18	80	206	236	94
1416152_a_at	221	137	362	525	1421	1552
1416153_at	564	378	213	441	758	698
1416154_at	18	233	110	40	132	66
1416155_at	138	183	222	4006	4236	2679
1416156_at	2137	3759	4383	32	65	246
1416157_at	1217	898	3932	479	128	848
1416158_at	170	7	40	5	184	299
1416159_at	17	6	5	46	10	5
1416160_at	12	6	108	5	6	6
1416161_at	125	80	45	301	1045	947
1416162_at	13	23	67	981	1203	1992
1416163_at	1843	1047	382	1405	1059	1247
1416164_at	64	5	7	5	5	5
1416165_at	1855	1251	1114	338	359	198
1416166_a_at	1769	1297	515	1007	1663	1762
