"","HCN_cells_in_iQNP_electroporated_with_empty_vector","HCN_cells_in_TAP_electroporated_with_empty_vector"
"AABR07039328.2",4.57784320285871,2.22761863617907
"AABR07039483.1",2.33259295119613,0.73675702133291
"AABR07041586.1",2.38261940468938,0.766907768900705
"AABR07042859.1",2.43591465119236,1.3324553847752
"AABR07042903.1",3.49632489671384,1.7992721869053
"AABR07043115.1",1.3128630477822,0.590134627979455
"AABR07043748.1",1.87755631229957,1.136791432311
"AABR07043823.2",1.42786784264457,0.502140829882965
"AABR07043951.1",3.03689369870214,2.20374811810056
"AABR07045405.1",2.15379850209606,1.66326907511944
"AABR07046727.1",2.18392914959084,1.13330157732447
"AABR07047576.1",1.26634144236215,0.61557758104339
"AABR07048308.2",1.50457209113195,0.579051228263655
"AABR07048637.1",1.52418406337521,0.77168344061383
"AABR07049038.1",1.56792418697516,1.13302598345338
"AABR07049695.2",1.20011364172161,0.848504404948395
"AABR07052664.1",1.19391121242735,0.77548165223443
"AABR07053166.1",5.39877333901905,2.24104907300552
"AABR07053472.1",1.83873700900103,0.595031586831005
"AABR07053613.1",1.76180581107926,1.00740066047239
"AABR07055280.1",1.80178391846875,0.404379262359839
"AABR07059198.1",2.11405884036076,1.72423016415643
"AABR07059778.1",1.0890280104454,0.579051228263655
"AABR07063724.1",1.36549406715164,0.88513223339906
"AABR07064719.1",2.79027232365033,0.896867008184855
"AABR07065118.1",1.054068901337,0.515773146358645
"AABR07067082.1",1.52486195163894,0.866820592891465
"AABR07067267.1",2.7145528915493,1.72708528934991
"AABR07068285.1",2.70591635563223,1.29085424216762
"AABR07070357.1",3.52189466206684,3.1685743221381
"AABR07071208.2",1.24322730360012,0.6058163282819
"AABR07071659.2",1.34714088971785,0.578201878542055
"AABR07071891.2",11.0375927703466,4.44671340071856
"AABR07071891.3",2.8446584662616,2.41714609224256
